stage,blastomeres,eye,fin_epithelia,immune,iridophores,melanocytes,mesenchyme,neural,spinal_cord,xanthophores
  3-4,25.3,0,0,0,0,0,0,0,0,0
  5-6,6.1,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.72,0,4.99,1.98,0
 24-34,0,0,0,0,0,0,0.68,5.19,0,6.21
 36-46,0,0,0,0,0,0,0,0.61,0,0.95
 48-58,0,0,0,0,0,0,0.38,2.79,0,0.84
 60-70,0,0.67,0,0,3.7,0,0,0,0,0
 72-82,0,0,0,0.95,0.59,0,0,0,0,0
 84-94,0,0,1.88,1.19,0,0,0,1.3,0,0
 96-106,0,0,0,1.06,0,0,0,0,0,0
108-118,0,0,0,0.99,0,0,0,0,0,0
