stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.45,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,12.48,4.54,0,0,30.43,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,10.61,2.55,14.96,0.94,0,0,0.83,0,0,0,3.74,0,0,0,0,0
 24-34,0,0,0,0,0.73,0,1.43,0,0,0,0,0,0,0,0,0.77,0.79,0.63,8.81,0.62,1.87,1.55,0,0,0,0.82,2.79,0,0,0,0,0
 36-46,0,0,0.98,0,0,0,5.86,0,0,0,0,0,0,0,0,3.79,2.53,0.56,51.25,0,3.93,1.26,0,0,2.93,0,12.58,0,0,0,0,0
 48-58,0,0,0,0,2.91,0,37.59,0,0.38,0,0,0,0,0,0,95.6,1.88,0.8,94.04,0,8.11,7.47,0,0,0,0,12.83,0,0,0,0,4.03
 60-70,0,0,0,0,3.83,0,174.79,0,0.85,0,0,0,0.66,0,0,154.33,22.61,0,249.75,0,4.07,11.18,0,3.21,0,0,18.02,0,2.39,0,0,0
 72-82,0,0,0,0,0.77,0,134.24,1.95,7.02,0.65,0,1.14,0,3.6,0,136.71,29.36,1.38,230.3,0,1.77,12.54,0,0,0,0,13.19,0,0.56,0.89,0.76,8.32
 84-94,0,0,0,0,1.44,1.06,167.4,0,2.51,0,1.52,1.07,0,0,0,276.44,31.19,0,153.32,0,4.64,25.82,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.87,0,1.86,2.02,140.21,0,3.8,0,0,0.68,0,0.61,6.49,125.25,2.65,2.66,122.71,0,1.13,32.38,0,5.27,0,0,5.89,1.89,0,0,0.63,0
108-118,0,0,0,0,0.45,9.19,125.42,0.54,3.91,0,0,2.71,1.26,0,0,213.55,2.78,3.12,194.75,0,4.91,22.97,0,2.61,0,0.43,0,0,0,0,0,0
120,0,0,0,0,1.52,0,177.23,0,2.43,1.51,0,6.94,0,8.05,0,45.88,0,2.23,268.68,0,0,56.77,0,0,0,0,0,0,0,0,0,0
