stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,liver,melanocytes,mesenchyme,neural,olfactory,periderm,pgc,spinal.cord,taste,vasculature
  3-4,13.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0
 14-21,0,1.05,2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89
 24-34,0,1.63,2.05,0,0,0,0,1.14,0,0,0,0,0,0,0,0,8.22,0,16.3
 36-46,0,4.51,10.47,0,0,0,0,0,0,0,0,0,5.17,0,0,0,1.35,0,7.29
 48-58,0,0,0,0.55,0.39,0.43,0,0,1.06,0,0,0.54,18.23,0,0,0,1.5,0,7.99
 60-70,0,0.56,0,3.56,0,0,2.47,0,0,0,6.38,0,18.71,0,0,0,0.89,0,10.49
 72-82,0,2.01,0,8.39,0,0,14.26,0,1.08,3,0,1.52,44.29,0,2.52,0,0,0,9.12
 84-94,0,2.65,0,1.63,0.6,0,7.58,0,0,0,0,1.22,7.97,0,4.46,0,3.25,0,11.39
 96-106,0,4.03,0,0.75,1.39,0,23.51,0,2.66,0.6,0,1.53,28.5,0,0.81,0,0,0,13.96
108-118,0,3.33,0,1.49,1.36,0,15.83,0,0,0.63,0,6.09,16.66,0.6,1.07,0,0,0.43,20.32
120,0,3.68,0,0,0,0,3.46,0,0,0,0,0,10.86,0,2.4,0,0,0,1.09
