stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.67,134.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.51,180.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,7.94,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.42,7.1,3.54,0,0,0,5.96,0,0,0,0,0,0,0,0,0,0,114.2,8.07,0,0,95.17,0,0,0,0,0,0,0,0,0
 10-12,0,31.56,0,0,0,0,19.21,0,0,0,16.01,0,0,0,0,0,0,101.29,0,0,0,39.08,6.22,5.55,0,14.26,0,0,0,0,0
 14-21,0,0,0,0,0.93,0,0,0,0,1.07,0,0,0,0,0,0.9,1.85,29.75,0,1.82,0,0,1.09,0,9.4,5.13,4.78,10.72,0,0,0
 24-34,0,0,0,0.59,0,0,5.94,0,1.36,0,1.11,0,0,0,0,10.02,0,63.93,0,0,0.65,0,2.59,0,0,0,0,7.53,1.33,0,0
 36-46,0,0,0,0,0,0,10.47,0,2.9,0,0,0,0.6,0,0,4.25,0,51.77,0,1.69,0,0,0,0,0,0,0,5.24,0,0,0
 48-58,0,0,0,0.6,0,0,14.75,1.74,4.84,0,0,0,0,0,0,3.83,1.5,31.91,0,0.41,1.22,0,0,0,0,0,0,6.58,0,0,0
 60-70,0,0,0,0,0,0,26.19,0.93,0.7,2.6,0,0,0,0,0,4.08,0,50.66,0,6.46,6.69,0,4.45,0,0,0,0,5.42,0,0,0
 72-82,0,0,0,0,1.86,0,13.63,0,4.2,1.97,0,0,0,1.19,0,5.53,0.63,83.77,0,1.45,2.03,0,0,0,0,0,0,10.79,0.57,0,0
 84-94,0,0,0,0.69,0,0,19.36,0,0.82,0.59,0.99,2.45,0,0,0.68,2.08,2.41,21.11,0,0,0,0,0,0,0,3.22,0,3.28,0,0,0.74
 96-106,0,0,0,0,0.7,0,5.26,0,3.71,0.83,0,0,0,0,0,5.98,0,30.91,0,4.13,1.91,0,2.26,0,0,0,0,0.95,0,0,0
108-118,0,0,0,0,1.08,2.73,11.31,0,1.47,0,0,0.47,0,0,0,2.24,0,45.22,0,1.91,1.18,0,0,0,0,1.22,0,0,0.52,0.65,0
120,0,0,0,3.85,0,0,10.38,0,6.61,2.48,0,0,0,0,0,0,0,23.2,0,1.32,2.59,0,2.6,0,0,0,0,0,0,0,0
