stage,blastomeres,endocrine_pancreas,epidermis,eye,glial,hatching_gland,muscle,neural,olfactory,periderm,somites
  3-4,0,0,0,0,0,0,0,0,0,14.16,0
  5-6,12.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,7.73,0,0,0
 24-34,0,0,0,0,0,2.51,0,0,0,0.64,0.67
 36-46,0,0,0,0,0,0,0.56,0,0,0,0
 48-58,0,0,2.26,0,0,0,0,3.53,0,0,0
 60-70,0,0,0,0,0.63,0,0,0,0,0.78,0
 72-82,0,0,0,4.33,0,0,0,3.99,0,0,0
 84-94,0,0,0,4.82,0,0,0,0,0,3.16,0
 96-106,0,0.81,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.41,3.4,0
120,0,0,0,0,0,0,0,0,0,1.15,0
