stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,53.92,1352.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,0,0,0,0,0,0
  5-6,92.17,916.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.58,27.81,0,0,7.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.56,0,0,10.16,0,0,0,3.77,0,0,0,0,0,0,0,0,146.56,3.59,0,0,41.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,13.47,0,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,203.46,0,0,0,0,0,0,0,7.31,0,0,3.28,0,0,0
 14-21,0,0,0,0,0,2.12,0,0,33.07,0,0,0.92,0,0,0,3.32,0,0,0,27.53,0,1.04,1.33,0,0,0,2.03,31.38,0,4.29,72.74,0,0,0
 24-34,0,0,0,0.59,1.49,0,0,0,51.72,0,0,0,0,0,0,2.66,0,0.82,1.47,48.72,2.77,30.64,0.69,0,3.31,0,0,41.93,0.71,2.1,112.92,0,0,0
 36-46,0,0,0,0,0.89,0,1.84,0,32.41,0,0,0,0,0,0,0.95,0,0,0.59,43.74,0,29.34,0,0,1.49,1.61,0,28.4,0,0,56.64,0,0,0
 48-58,0,0,0,0,4.72,0,8.73,0,30.86,0,0,0,0,0,0,0,0,0,0,28.19,0,17.77,0,0,0,0,0,4.82,0,0,52.68,0,0,0
 60-70,0,0,0,0,0,0,1.76,0,42.04,0.69,0,0,0,0,0,0.79,0,0,0,55.68,0,23.14,0,0,0,0,0,6.11,0,0,33.05,0,0,1.96
 72-82,0,0,1.86,0,0,6.67,5.52,0,46.75,2.55,0,0,0,0,0,3.42,0,0.55,0,26.99,0,42.54,0.5,0,0,0,0,1.15,0,0,25.82,0,0,5.55
 84-94,0,0,0,0,0,0,10.07,0,37.85,0,0,0,0,0,0,2.06,0,0,0,16.42,0,57.47,0,0,0,0,0,4.89,0,0,35.02,0,0,1.28
 96-106,0,0,0,0,0,0,10.26,0,41.03,1.54,0,0,1.22,0,0.63,13.12,0,0,0,8.09,0,79.3,0.62,0,0,0,0,4.57,0,0,25.83,0,0.68,3.85
108-118,0,0,0.91,0,4.35,0,10.97,0.54,63.34,0,0,0,0,1.43,1.86,1.04,0,0,0,16.81,0,33.74,3.27,0,0,0,0,3.1,0,0,17.27,2.64,0,7.75
120,0,0,3.99,0,0,0,0,0,19.61,0,0,0,0,0,0,0,1.63,0,0,15.63,0,63.84,0,0,0,0,0,2.81,0,0,9.31,0,0,0
