stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.57,18.87,73.59,0,5.98,0,93.95,0,0,0,0,0,54.34,0,0,0,0,0,0,0,0,0,0,0,516.55,59.94,0,0,194.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,70.28,175.55,0,145.3,0,67.55,0,0,0,0,0,103.92,0,0,0,0,0,0,0,0,0,0,0,2162.79,154.77,0,0,961.21,0,0,16.26,0,102.99,0,0,0,0,0,0,0,0
 14-21,0,0,6.02,180.52,28.97,0,14.94,0,0,0,10.4,6,4.98,2.74,0,1.56,0,0,0,0,96.63,0,0,56.38,582.86,54.58,6.31,14.86,28.31,0,3.47,2.44,17.37,1.37,0,20.43,367.75,0,0,3.92,0,0
 24-34,0,0,5.62,158.64,0.69,0,57.51,0,16.16,1.63,2.44,3.11,1.39,6.9,0,1.38,1.63,4.06,1.9,21.62,156.63,10.34,0.89,37.59,1881.98,17.6,17.44,25.12,0,0,16.45,0.98,0,0.93,0,4.58,386.07,0,0,66.94,0,11.21
 36-46,0,0,0.56,151.33,2.92,0,302.61,3.98,56.41,5.77,23.04,1.54,0.6,5.55,3.04,0,10.57,7.73,0.57,11.95,241.71,0,4.24,32.65,4646.14,13.31,11.83,22.11,0,0,11.94,0,0,13.66,0,0,902.54,0,0,102.67,0,0
 48-58,0.77,0,0,163.34,0,0,662.24,1.18,95.74,10.77,69.12,0,1.09,8.16,5.41,1.04,7.82,6.4,0,3.28,291.04,2.29,11.5,39.2,4372.97,13.41,5.54,6.18,0,3.33,7.69,0,0,12.01,0.46,0,895.61,0,2.17,69.89,0,1.51
 60-70,0,0,0,78.44,4.31,0,763.91,4.2,61.55,21.05,32.04,0,0,6.27,0,0,7.13,10.25,0,2.28,538.9,3.12,7.9,20.79,2601.67,5.94,10.89,10.69,0,6.17,0.76,0,0,0,1.58,0,462.26,0,5.04,75.84,4.1,10.96
 72-82,0,0,0,58.47,2.7,0,370.15,1.33,70.27,10.41,32.13,0,2.07,9.36,1.57,3.94,7.86,16.24,8.77,8.25,730.52,1.51,34.24,20.81,1720.53,10.22,3.1,19.56,0,1.42,0,0,0,0,7.13,0,235.28,1.56,11.35,152.31,22.8,0.99
 84-94,0,0,2.04,129.41,0,0,378.88,0,107.12,12.25,25.13,3.03,4.51,11.45,5.99,2.84,38.57,16.87,5.87,13.04,618.41,7.23,64.79,7.65,1038.68,3.84,1,9.87,0,16.73,1.83,0,0,2.8,0,0,160.74,11.9,9.79,113.29,30.33,7.59
 96-106,0,0,0,67.72,27.16,0,194.26,3.7,65.92,9.95,22.5,3.71,1.06,10.52,1.62,1.98,32.6,17.81,0,1.97,522.22,6.38,32.51,18.28,792.62,1.19,8.18,14.04,0,6.36,1.64,0,0,0,0,0,46.75,11.49,16.88,147.15,22.73,11.39
108-118,0,0,0.45,85.01,5.83,2.73,242.19,0,88.42,2.15,16.24,5.79,0,15.27,3.06,0.75,56.39,9.89,5.71,1.21,434.96,0.87,38.83,23.51,932.15,19.99,4.42,14,0,15.99,7.64,0,0,1.31,0,0,29.2,5.25,18.37,80.48,13.76,1.36
120,0,0,0,72.78,0,0,238.9,0,37.98,0,16.3,2.59,0,28.91,8.05,16.09,36.58,9.97,1.38,5.37,376.76,3.49,40.72,39.43,766.88,4.27,0,11.14,0,0,1.17,0,0,0,0,0,15.17,1.81,9.91,176.61,15.62,0
