stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,436.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.79,354.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.24,0,8.17,0,0,0,13.04,0,0,0,0,19.49,0,0,0,0,0,0,0,0,0,0,0,207.65,4.41,0,0,52.48,0,0,6.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,32.69,0,0,0,9.36,0,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,181.57,0,0,0,67.12,0,0,5.33,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.11,0,0,1.9,0,0,1.08,1.71,0,0,0,0,0,0,1.15,0,2.74,0,0,2.23,40.45,1.39,0,0.86,0,0,1.06,0,6.44,0,0,3.46,13.56,0,0,1.23,0,0.84
 24-34,0,0,0,0.6,3.99,0.95,0,9.13,0,1.06,0,0,0,0.67,0,0,0,0,0,0,18.6,0,1.52,5.31,199.73,0.87,3.57,2.74,0,0,4.34,0,0,0,0.94,0,51.52,0,0,5.08,0,0
 36-46,0,0,0,0,9.3,1.32,0,25.71,0,0,15.55,0,0,1.67,0,0,0,0,0,9.57,24.9,1.01,6.56,3.1,347.07,0,2.56,0.71,0,0,26.7,0,0,0,0,0,77.11,0,0,6.14,0,2.12
 48-58,0,0,0,0,8.64,0,0,78.35,2.49,0.4,13.43,0,0,0,0,0,0,0,0,0,14.48,0.95,0.4,0.58,242.13,0,0.91,1.67,0,0,3.64,0,0,0,0,0,42.36,0,0,0.41,0,0.54
 60-70,0,0,0,0,3.42,0.72,0,108.1,1.46,3.59,24.49,3.27,0,0,1.17,8.43,0,0,1.7,7.36,15.99,0,7.24,0.69,264.97,0,0,3.83,0,0,3.19,0,0,0,0,0,38.27,0,0,11.8,0,0
 72-82,0,0,0,0,4.51,0.89,0,103.7,0,1.59,10.47,1.36,0,0,0,0,0.52,0,0,0,29.74,0,0,2.4,266.87,0,1.95,1.46,0,1.08,9.56,0,0,0,0,0,21.07,0,0,6.06,0.49,0
 84-94,0,0,1.65,0,3.09,1.48,0,100.88,0.55,11.23,17.47,0,0,0,2.5,1.75,0,0,0.67,0.73,42.64,0,0.86,0.98,212.8,4.13,2.81,7.01,0,0,11.61,0,0,0,0,0,18,0.71,0,6.51,0,0.62
 96-106,0,0,0,0,5.1,10.45,0,73.94,0,0,1.86,0,0,2.36,0,1.89,1.82,0.59,0,0,25.85,0,0,4.19,160.28,0,1.53,0,0,0,5.87,0,0,0,0,0,0,0,1.48,5.24,1.74,0
108-118,0,0,0,0,2.63,3.99,3.54,104.56,1.92,0,23.83,1.58,0,0,0,0.95,3.55,0,0,2.1,18.14,3.54,0.57,0.44,174.12,0,1.12,3.38,0,0,6.01,0,0,0,0,0,7.36,0,0,6.05,0,0.48
120,0,0,0,1.66,15.23,15.27,0,167.78,0,2.48,21.56,1.31,0,0,20.37,4.01,0,2.19,0,0,99.56,0,0,1.65,532.02,1.96,0,20.22,0,0,13.75,0,0,0,0,0,0,0,0,0,0,0
