stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.49,0,0,0,0,0,0,0,0,0,6.41,5.04,0,0,17.98,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,28.89,0,0,5.28,0,9.27,0,0,0,0
 14-21,0,0,0,0,0,0,0.97,0,0,0,1.09,0,0,1.82,0,0,0,10.12,0,0,3.75,0,0
 24-34,0,0,0.86,0.84,0,0,1.09,0.65,0,0.72,0,0,1.03,3.12,0,0,0,5.6,0,0.69,0.93,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.29,1.69,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.17,0,0,1.19,0,0,0,2.1,0,0.89,5.05,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.46,1.88,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.14,0,0,0,0.62,0,0,0,7.92,0,0,0.52,0,0,0,0,0,0,0,0.49,0
 84-94,0,0,0.84,1.14,0.57,0,0,0,0,0,6.62,0.82,0,10.08,0,0,0,0.86,0,0,0.94,0,0
 96-106,0,3.28,0,2.87,0,2.81,3.28,0,0,0.66,18.36,0,0,3.45,0,0.83,0,0,0.71,0,0,0,0
108-118,0,0,0,0,0,0,0.81,0.45,0.7,0,14.54,0,0,0,0,0.49,0,0,0,0,0,0,0.5
120,0,0,0,0,0,0,0,5.8,0,0,30.75,0,0,2.49,0,0,0,0,0,0,0,0,0
