stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature
  3-4,33.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,15.75,0,0,0,0,0
 10-12,0,0,0,0,0,0,12.86,0,0,0,0,0,0,0,0,0,0,0,66.53,0,0,8.88,0,0,0,0,0
 14-21,0,0,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49,8.7,0,0,0,0,0.9,3,1.07,0
 24-34,0,0,0,0.61,0,0,0.68,0,0,0,0,0,0,0,0,0.9,0,0,19.2,0.62,0,0,0,8.49,0,2.54,0
 36-46,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0,11.84,0,0,0,1.44,6.27,0,2.08,0
 48-58,0,0,0,0,0,0,7.02,0,5.99,0.68,0,0,0,0,0,0.88,0,0,24.59,0,0,0,2.74,10.3,0,2.57,0
 60-70,0,0,0,0,0,0,0.63,0.62,0,15.39,0,0,0,0,0,3.39,0,0,13.63,0,0,0,0,16.38,0,4.68,0.57
 72-82,0,1.93,0,0,0.72,0,17.58,1.44,2.56,98.66,0,0,0,0,0,4.67,1.08,0,38.82,0,6.14,0,0,6.8,0,1.35,0
 84-94,0,0,0,0,0,0,8.04,0,3.83,168.48,0,0,0,0,0,1.59,2.26,0,11.13,0,0,0,3.15,18.92,0,2.86,1.71
 96-106,0,1.72,0,0.62,10.96,0.84,14.38,2.13,6.33,265.03,1.76,0,0,13.01,0,9.33,0,0,37.9,0,1.43,0,5.8,31.5,0,0,0
108-118,0,0,0,0.58,0,0,30.82,0.74,4.63,387.19,0.96,0.89,4.94,0,0.53,14.68,0,0,57.28,0.62,1.28,0,2.09,16.65,0,0,0
120,0,0,0,0,0,0,20.01,0,2.22,201.24,0,0,0,3.42,0,3.66,0,0,4.47,0,0,0,0,22.7,0,0,0
