stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,54.38,730.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,51.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,9.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53,0,0,0,19.53,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.4,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,68.09,0,0,0,37.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.95,5.28,0.92,0,11.34,0,0,0,0,0,4.19,0,0,3.06,0,0,0,1.74,3.63,0,0,0,48.13,0.83,1.57,0.96,0,0,0,1.12,4.35,0,1.38,13.66,28.73,0,0,0,0,0
 24-34,0,0.83,0.66,3.61,0.88,0,24.35,0,0,0.61,3.17,0,0,0,2.7,14.11,0,0,0,12.06,16.02,0.61,0,5.23,347.14,5.45,3.87,1.73,0,0,0,0,0,0.98,1.04,7.49,101.18,0,0,9.5,0,3.44
 36-46,0,0,0.69,3.21,0.71,0,74.74,0,0,3.51,17.68,0,0,0.6,2.2,3.05,1.39,0.61,2.63,1.58,18.39,1.16,0,6.05,537.24,0,8.31,8.18,0,0,2.3,1.17,0,7.25,3.42,1.29,137.06,0,0,4.29,0,9.51
 48-58,0,0,0.44,5.85,2.07,0,338.11,3.06,1.27,6,56.19,0,0,2.09,0.48,1.82,1.7,0,5.32,1.72,40.99,0.5,0.96,9.73,856.07,0.43,5.76,0.38,0,0,1.15,0,0,1.15,9.57,0,170.71,0,0,1.77,0,19.48
 60-70,0,0,0,8.29,0,0,663.9,0.58,0.68,2.92,71.13,3.46,0,0,7.28,1.59,2.66,1.55,2.39,12.5,65.69,0,2.5,8.51,1154.03,0.62,6.56,3.86,0,1.08,1.74,0,0,2.65,5.46,0,178.05,0.77,0.71,1.77,0,12.22
 72-82,0,0,3.07,5.2,1.85,0,746.33,2.16,0,5.62,102.86,7.88,0,3.41,7.84,5.6,1.05,2.25,8.75,9.43,98.72,0,6.34,14.76,1348.55,0,12.44,20.64,0,0,1.76,0,0,0,4.82,0,85.94,1.94,1.06,5.73,0,12.3
 84-94,0,0,0,8.86,1.9,0,603.8,0,1.14,11.7,100.94,7.08,0,0.97,5.42,9.88,9.08,2.63,5.62,1.11,63.72,2.46,0,9.2,768.35,0,6.02,5.83,0,3.67,12.18,0,0,10.81,5.6,0,78.49,5.09,3.22,14.05,2.23,0
 96-106,0,0,5.69,9.44,10.7,0.56,517.24,0.57,0,2.5,116.41,5.71,0,2.44,10.98,4.73,2.12,1.25,39.58,0,61.74,3.88,1.38,6.43,671.84,0.7,5.24,11.59,0,2.88,12.44,0,0,7.1,5.53,0,43.66,0.56,0,13.83,0,16.65
108-118,0,0,3.08,15.82,0.44,3.01,468.1,1.34,0.97,4.44,105.99,3.77,0,3.99,4.24,3.51,3.16,10.45,29.86,0.44,57.79,0.57,0,8.16,1118.48,0.97,10.6,6.49,0,3.57,8.87,0,0,13.52,5.43,0,13.98,1.12,3.73,10.58,2.01,5.22
120,0,0,3.01,6.03,7.28,3.96,290.09,8.04,0,0,136.69,1.04,0,7.76,9.39,6.74,5.6,1.74,9.81,0,65.59,0,2.35,19.25,1021.59,1.33,22.81,6.55,0,0,7.04,0,0,9.04,1.21,0,24.12,0,0,11.17,0,0
