stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,17.5,0,0,6.16,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,35.28,0,0,30.96,0,0,0,0,4.47,0,0,0
 14-21,0,3.7,1.65,0,4.57,0,2.28,1.08,0,0,0,6.7,0,0,1.88,0,0,0,0,20.19,0,0,0
 24-34,0,5.01,0,0,14.55,0,1.16,0,0,6.18,2.85,5.48,0,0,0,0,0.83,0,0.74,5.74,0,1.26,0
 36-46,0,4.28,0,4.19,24.88,0,0,0,0,10.41,5.29,6.32,0,0,0,0,0,0,0,5.61,0,18.25,0
 48-58,0,6.79,0.45,0,10.08,1.58,0,0.98,0,11.11,3.06,8.55,0,0,0,0.61,5.32,1.86,0,1.55,0,4.87,0
 60-70,0,4.8,0,0,29.98,0,0.87,4.04,0,9.53,1.7,0.78,0,0,0,0,0,0,0,0.84,0.63,0,0
 72-82,0,0.52,0,0,0.62,1.64,1.43,0,1.32,14.22,0,2.81,0,0,0,0,0,0,0,1.13,0.99,2.02,1.72
 84-94,0,1.75,0,0,3.79,0,0,0,0,9.71,0,0,0,0,0,0,0,0,0,0,0.88,2.81,0
 96-106,0,1.51,0,0,3.77,0.57,0,0,2.33,9.48,0,0,0,0.73,0,3.28,0,0,0,0,0,3.68,0
108-118,0,5.37,0,0,4.46,0.75,0,0,0.69,6.94,0,3.98,1.21,0,0,0,0,0,0,0,0,4.25,0
120,0,1.88,2.13,0,5.78,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0
