stage,axial,blastomeres,endoderm,epidermis,eye,gut,melanocytes,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros
  3-4,0,82.24,0,0,0,0,0,0,0,0,0,0
  5-6,16.54,85.98,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.7,4.74,0,33.9,0,0,0,137.79,4.32,24.98,0
 10-12,0,0,0,0,14.39,0,0,0,77.56,8.54,37.04,18.68
 24-34,0,0,0,0,0.76,0,0,0,0.71,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.7,0,0,0
 48-58,0,0,0,0,0.82,0,0,0,11.46,0,0,0
 60-70,0,0,0,0,5.82,0,2.31,0,5.35,0,0,0
 72-82,0,0,0,1.79,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.58,0,0.55,1.1,0,0,0
120,0,0,0,0,0,0,0,0,8.18,0,0,0
