stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.35,839.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.27,0,0,0,0,0,0,0,0,0
  5-6,27.63,1442.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.04,0,0,0,28.67,0,44.29,0,0,0,0,0,0,0,0,0
  7-9,13.23,56.24,0,33.13,0,0,73.48,0,0,0,29.04,0,0,0,0,0,0,0,0,653.92,10.98,0,0,124.1,0,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.21,0,0,16.89,0,0,0,0,0,0,0,0,0,0,0,0,341.23,8.17,0,0,120.22,0,0,0,3.37,0,13.27,0,0,0,0,0
 14-21,0,0,0,1.25,25.7,6.54,8.55,0,2.87,0,0,0,0,0,0,1.02,5.73,0,5.95,145.35,2.81,2.34,0,1.71,0,6.48,15.12,1.97,0,11.83,36.11,0,0,0,0
 24-34,0,0,0,0,1.32,0,17.56,0.68,1.01,0,0,2.16,1.47,2.27,0,0,11.34,0,2.66,172.58,4.13,0,1.38,1,0,2.52,0,0,1.54,0,26.96,0,0.66,0,0
 36-46,0,0,0,0,2.4,0,19.14,0.61,3.36,0,0,0,0,0,0,0,4.79,0,2.72,123.72,0.64,1.69,0,0,0,2.83,0,0,0,0,30.84,0,0,0,1.19
 48-58,0,0,0,0,0.5,0,32.73,0,9.54,0,0,0.48,0.76,0,0,0,8.58,0,0.82,64.73,0,0.37,0.77,0,0,0,0,0,0,0,9.22,0,1.38,0,0
 60-70,0,0,0,0,0,0,42.31,0.62,4.11,0.85,0,0,0,0,0.93,0,11.85,0,0.87,49.71,0,2.08,0,0,0,0,0,0,0,0,5.41,0,0,0,2.71
 72-82,0,0,0,0,0,0,6.38,0,6,0,0,0,0,0,0.93,0,13.85,0.72,1.31,32.57,0,0,0,0,0.89,0,0,0,0,0,1.28,0,1.77,0.81,0
 84-94,0,0,0,0,2.28,0,10.52,0,4.98,0,0,0,0,0,0,0.59,8.51,0,1.54,28.81,0,0,0,0,0,1.08,0,0,0,0,0.98,0,0,0,0
 96-106,0,0,0,0,0,0,18.42,0.64,12.83,0.64,0,0,0,0,0,0,1.63,0,1.11,20.81,0,0.94,0.59,0,0,0.63,0,0,0,0,0,2.78,4.98,0,0
108-118,0,0,0.75,0,2.39,0,5.22,0.56,3.88,1.18,0,0,1.6,0,0.47,0,2.9,0,1.05,16.53,0.51,0,0,0,0,2.58,0,0,0,0,0.58,0,1.03,0,0.42
120,0,0,0,0,0,0,27.7,0,6.82,0,0,0,0,0,0,0,34.89,0,0,11.88,0,1.45,0,0,0,1.68,0,0,0,0,0,0,1.46,0,0
