stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.41,227.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654.62,0,0,0,0,0,0,0,0,0,0
  5-6,28.04,207.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,1383.03,0,0,0,0,0,0,0,0,0,0
  7-9,0,11.05,0,0,0,0,25.67,0,0,0,0,0,35.96,0,0,0,0,0,0,0,0,0,0,0,184.2,0,0,0,14.46,0,90.48,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.21,0,0,0,0,135.11,0,0,0,0,0,8.64,0,0,0,0,0,0,0,0,0,0,0,3078.16,4.54,0,0,48.26,0,43.95,0,6.91,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,4774,3.44,0,7.22,0,18.81,0,1.04,0,1.45,0,0,3.99,0,1.12,0,0,41.86,17.77,0,31.21,163.05,7.75,6.19,30.38,0.95,0,652.53,11.47,0,0,4.54,88.83,0,0,0,0,0
 24-34,0,0,0,3482.84,1.84,0,19.54,0,202.84,0.79,1.17,0,0,3.27,0.94,2.27,0.7,0.65,11.3,1.64,41.53,50.25,0,8.76,388.01,1.8,46.39,3.69,0,0,782.17,0,2.94,0.65,2.07,158.64,0,0,12.08,0,0
 36-46,0,0,0,2424.47,0,0,18.88,0,435.66,2.59,7.49,0.56,0,0,0,12.6,0,1.86,0,0,80.8,19.29,6.97,32.47,237.87,0.58,47.47,0.69,0,0,623,0,0,0,0,282.25,0,0,16.9,0,8.59
 48-58,0,0,0,1622.45,3.04,0,45.61,0.44,420.31,2.24,5.53,0.66,0.69,0.52,5.34,4.61,0,1.21,0,0.73,65.03,12.92,14.77,11.78,207.61,0.46,13.8,0.38,0,0.4,363.79,0,0,0,0,237.11,0,3.8,2.18,0,7.29
 60-70,0,0,0,1481.76,0,0,69.27,0,566.66,4.1,15.8,17.81,1.71,0,1.92,3,0,6.46,0,0,161.06,16.62,59.17,27.34,158.7,0.8,24.47,0,0,0,535.48,0,1,0,0,244.2,14.78,22.02,2.49,19.12,0
 72-82,0,0,9.15,1018.62,0,0,80.49,0,457.24,1.7,14.47,17.67,0,4.25,0.55,13.43,0,1.6,0,0,178.88,11.05,50.35,18.9,110.65,0,27.89,4.29,0,0,340.66,0,0,0,0,94.88,25.52,16.17,12.75,72.19,4.14
 84-94,0,0,2.46,1754.27,0,0,52.31,0,721.22,0.78,10.23,68.12,0,0.6,0,31.38,13.54,0,0,0,158.44,19.8,66.45,2.84,92.26,0,66.47,1.91,0,0,1210.68,0,2.27,0,0,87.82,107.41,15.36,15.45,59.43,0
 96-106,0,0,6.72,2166.03,30.74,1.91,69.8,0,870.5,1.69,27.81,199.46,0,17.25,6.82,63.52,5.85,8.33,11.56,0,275.15,49.22,69.14,29.09,247.39,7.09,163.18,2.23,0,2.07,1663.02,0,12.2,0,0,201.33,165.46,25.81,4.2,164.13,11.72
108-118,2.99,0,8.58,2430.5,0,2.85,117.24,0,1333.85,16.39,48.47,310.99,0,0.56,1.35,116.59,0,4.81,1.09,0,266.27,53.96,23.92,10.2,145.59,0.58,93.64,6.18,0,1.8,1971.54,0,1.29,0.43,0,101.49,314.33,19.26,13.3,177.13,0
120,0,0,7.26,1183.83,13.51,3.41,25.13,0,806.4,5.27,18.44,96.64,0,4.89,2.26,34.14,4.7,3.03,10.34,0,117.65,40.06,13.58,14.04,190.31,0,40.58,7.17,0,5.07,905.53,1.12,0,0,0,137.33,84.03,3.38,41.9,129.5,4.77
