stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,487.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3302.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.37,186.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2378.75,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,20.29,0,0,0,0,13.08,0,0,0,0,0,0,0,0,0,123.05,0,0,0,22.12,262.75,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,70.02,0,0,0,0,0,0,0,0,14.64,0,0,0,0,0,0,0,0,0,343.9,8.95,0,0,56.15,138.01,6.41,0,44.5,5.05,0,0,0,0,0,0
 14-21,0,0,3.07,14.19,137.49,3.78,0,0,0,0,2.67,3.1,2.22,0,0,10.4,0,0,6.64,2.2,0.93,0.91,16.41,0,3.06,2.24,0,732.85,0,4.58,7.02,0.89,0.91,0,0,0,0,0
 24-34,0,0,0.65,2,35.64,0,0,0.61,1.89,0.61,1.74,2.19,6.16,0,0.6,13.07,0,2.71,0,0,8.04,3.46,199.43,0.83,9.35,4.79,0,817.77,0,0,5.57,0,3.1,0,0,0,0,0
 36-46,0,0,0,1.18,22.65,0,0,5.38,9.8,0,0,3.33,0,0.93,0,11.4,0,2.75,0,0.57,9.46,1.23,551.44,0,4.06,6.19,0,796.96,0,0,7.5,0,6.08,0,0,0,0,1.65
 48-58,0,0,0,0,31.17,0.46,0,11.54,6,0,7.16,1.38,0.37,0,0,2.7,0,2.89,0.37,1.52,8.57,0.42,357.94,0,5.07,1.62,0,521.75,0,0,5.71,0,2.64,0,0,0,0,3.04
 60-70,0,0,11.51,0,37.94,0,0,16.59,14.81,0,0,4.6,0.66,0,0,11.41,0,2.96,0,1.06,10.66,0,205.61,0,3.27,2.35,0,384.55,0,0,0.64,0,1.35,1.42,0,0,0,0
 72-82,0,0,5.48,0,72.54,0,0,15.54,8.56,0,5.02,14.43,0,0,0.52,17.15,0,6.83,2.12,7.96,7.27,0.66,221.52,0,5.65,6,0,274.49,0,0,4.29,0,5.21,26.94,0,0,0,0
 84-94,0,0,6.94,0,114.59,0,0,0.61,5.51,0,4.64,20.85,1.3,0,0,14.26,2.41,17.77,0,3.38,7.41,0,267.52,0,4.21,5.17,0,699.82,0,0,0,0,0,42.53,0.92,0.8,3.29,0
 96-106,0,0,9.13,0,169.29,7.05,0.98,9.75,16.41,0,3.6,42.04,1.32,0,1.42,14.98,0,16.73,17.14,5.58,33.4,0.66,114.8,0.6,11.7,7.27,0,617.71,0,0,1.9,0,0,60.65,0,2.81,0.74,0
108-118,0,0,10.11,0,155.6,0,1.03,4.02,14.96,0,0.48,30.61,0,0,2.84,20.94,0,5.94,0.96,2.75,12.8,0,126.86,0,6.36,3.81,0,472.22,0,0,4.95,0,0,71.55,0,0.65,0,0
120,0,0,0,0,184.09,0,0,3.6,26.67,0,2.98,43.42,0,0,0,19.8,0,6.84,13.12,19.23,4.03,0,72.72,0,4.91,18.14,0,300.88,0,0,0,0,0,41.86,0,0,8.36,0
