stage,axial,blastomeres,endoderm,eye,mural_cell,neural,notochord,paraxial_mesoderm,spinal_cord
  3-4,11.43,102.35,0,0,0,0,0,0,0
  5-6,0,128.06,0,0,0,9.09,0,0,0
  7-9,0,8.89,3.44,14.49,0,27.76,3.63,16.53,0
 10-12,0,0,0,0,0,47.57,0,21.39,0
 24-34,0,0,0,0,0,0,0,0,1.46
 84-94,0,0,0,0,0.58,0,0,0,0
