stage,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.69,0,0,0,0
 14-21,1.05,4.54,1.75,0,0,0,4.87,1.78,3.1,0.83,0,0,0,0.86,8.03,6.99
 24-34,0,0,0,0,1.72,0,6.4,5.94,1.29,0,0,0,0,0,3.12,5.72
 36-46,0,0,0,0,0,0,7.72,1.83,2.1,0,53.58,0,0,0,0,0.79
 48-58,0,0,0,0,0,0,0,0,13.43,0,43.16,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.84,0,197.5,0,5.04,0,0,0
 72-82,0,0,0,0,0,0,2.49,0,2.18,0,3.8,0,0,0,0,0
 84-94,0,0,0,0.83,0,0,2.84,0,0,0,212.97,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.87,0,11.79,0,907.17,0,0,0,0,0
108-118,0,0.48,0,0,0,0.55,4,0,0,0,317.13,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,5.77,0,0,0,0,0
