stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,161.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,107.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.28,0,0,0,0,0,0,6.36,0,0,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,60.31,3.21,0,0,32.87,0,7.16,4.25,0,0,0,0,0,0,0,0,0
 10-12,0,13.23,0,5.03,0,0,0,20.89,0,0,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,174.96,23.31,0,0,95.82,0,0,0,0,12.9,0,0,0,0,0,0,0
 14-21,0,1.36,0,0,0.83,1.69,0,0.82,0,0,0,2.89,0,0,0,0,0,0,0,0,0,3.68,0,0,0.93,32.39,1.72,0.95,0,0.83,0,0,0,5.03,0,10.6,5.02,13.14,0,1.76,0,0
 24-34,0,0,0,0,0.68,0,0,6.57,0,0,0,2.51,0,0,0.76,0,1.24,0,0,0,0,7.76,0,0,1.61,71.95,1.13,0.76,2.93,0,0,0,0,0,0,0,1.54,27.3,0,3.81,0,0
 36-46,0,0,0,0,2.65,0,0,19.72,0,0,0,4.46,0,0,0,0.81,0,0,0.6,0,2.07,11.12,0,0.72,1.93,147.81,0.64,0.87,0,0,0,2.47,0,0,0,0,0,34.08,0,3.46,0,0
 48-58,0,0,0.4,0,7.41,0,0,45.58,0,0,0,6.38,0,0,1.47,0,0,0,0,0,0.53,12.72,0,0.44,3.48,124.67,0,2.63,0,0,0,0,0,0,0,0,0,27.9,0,5.95,0,0
 60-70,0,0,0,0,0,0,0,52.16,0,0,0,12.97,0,0,0,0,0.92,0,0,0,0,11.74,0,0,2.28,172.27,0,4.03,0.63,0,0,0.63,0,0,0,0,0,21.32,0,0.72,0,0
 72-82,0,0,0,0,1.04,6.38,0,40.52,0,0,0,23.07,1.57,0,1.32,0,0,0,0,0,0,19.56,0,0,1.31,115.05,0,1.22,0,0,0,0.57,0,0,0,0,0,18,0,3.01,0,0
 84-94,0,0,0.81,0,2.43,2.39,0,58.61,0,0,0,7.92,0,0,1.78,0,0,0.75,0,0,0,21.15,0,1.37,2.05,101.33,0.94,1.71,0,0,0,1.72,0,0,0,0,0,11.25,5.14,0,0,0
 96-106,0,0,0,0,2.09,6.5,0,52.39,0,0,0,16.33,3.01,0,0,0.91,0.83,0,0.9,0,0,24.69,2.85,0,2.29,90.2,0,6.31,3.08,0,1.57,0,0,0,0,0,0,0.67,3.54,3.01,2,1.21
108-118,0,0,0,0,2.45,0.47,8.06,38.86,0.65,0.46,1.08,13.19,0.84,0,0.68,3.42,1.23,0,1.56,0,1.22,27.04,0.93,0,0.75,88.3,0,2.23,1.76,0,0.87,1.5,0,0,0,0,0,1.96,0,5.03,1.26,0
120,0,0,0,0,14.7,0,0,45.19,1.51,0,0,33.3,1.28,0,3.84,0,0,1.05,0,3.69,0,24.56,0,1.38,0,132.24,0,2.59,0,0,0,1.64,0,0,0,0,0,19.68,0,9.78,0,0
