stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,33.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,8.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,16.81,0,0,13.03,0,0,0,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,105.37,4.1,0,0,82.11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,78.75,0,12.56,34.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.44,8.3,0,0,295.93,0,0,7.73,0,4.51,0,0,0,0,0
 14-21,0,0,0.88,20.99,0.92,7.8,0,0,0,2.58,0.85,0,0,0,0,0,0,0,0,12.89,0,0,20.65,65.62,1.15,0,0,0,1.94,16.43,0,44.96,20.06,0,0,0,0,0
 24-34,0,0,1.29,12.42,0,17.96,0,2.1,0,6.94,0,0,0.81,0,0,0,0,0,0,22.8,0,0,8.85,45.68,0,0,2.6,0,1.44,0,0,5.44,22.99,0,0,1.64,0,0
 36-46,0,0,0,1.24,0.76,8.87,0,3.85,0,0.62,0.66,0,0,0,0,0,0,0,0,24.56,0,1.75,6.73,55.88,10.48,0,0.57,0,6.42,0,0,0.6,9.91,0,0,2.14,0,0
 48-58,0,0,0,4.77,0,82.76,0,3.38,0,3.49,0,0.93,0,0,0,0,0,0,0,15.85,0,1.68,1.82,62.89,4.38,1.3,0,0,1.4,0,0,0,21.29,0,0,4.85,0,0.62
 60-70,0,0,0,0,0,312.84,0,1.3,1.35,13.03,0,0,0,0,0,0,0.7,0,5.91,34.13,0,0.81,0,108.28,4.02,0,0,0,8.69,0,0,0,10.59,0,1,0.73,3.74,0
 72-82,0,0,0,1.18,3.27,191.62,0,0.81,0,18.43,0.66,0,0,0,0,0,1.51,0,0,21.39,0,1.54,3.86,77.67,1.88,0,0,0,1.31,0,0,0,16.37,0,0,1.51,6.39,0
 84-94,0,0,0,2.32,0,151.63,0,1.22,0,20.58,0,0.99,3.69,0,0,1.03,0,0,0,19.94,0.92,1.62,0.83,62.85,0,0,4.85,0,4.76,0,0,0,7.63,0,0,0,0.81,0
 96-106,0,0,0,1.04,0,103.95,0.62,4.81,0,17.69,1.21,0,0,0,0,0,2.23,1.45,0,14.28,0,0,0.62,55.41,2.29,0,3.7,0,7.81,0,0,0,6.98,0,0,0.56,3.82,0
108-118,0,0,0,7.26,0.62,82.18,0,0.66,0,19.88,2.05,0,1.49,0,0.89,0,0.51,0,0.99,18.13,0,0.83,0,59.39,0.6,0.77,4.24,0,5.76,0,0,0,0,0.51,0,0.74,2.73,0
120,0,0,0,0,0,144.65,0,1.12,0,31.49,0,0,0,1.01,2.56,0,0,0,0,41.74,0,0,0,126.07,3.99,0,0,0,4.33,0,0,0,0,0,1.56,0,0,0
