stage,blastomeres,endoderm,eye,glial,ionocyte,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  5-6,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.83,4.18,0,0,0,0,24.85,0,4.94,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,18.31,0,0,0,4.94,0,0,0
 14-21,0,0,0,1.14,0,0,0,0,0,0,0,0,1.17,0,1.82
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61,1.72
 36-46,0,0,0.61,1.24,0,0,0.8,2.86,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.12,0,0,0,0,0,0,0
 60-70,0,0,3.37,0,0,0.63,0,0,0,0,0,0,0,0,0
 72-82,0,0,4.83,0,0,0,0,1.94,1.28,0,0,0,0,0,0
 84-94,0,0,0.63,0,0,0,0,5.96,0,0,0,0,0,0,0
 96-106,0,0,0.96,0,0,0,0,0,0,0,0.87,0,0,0,0
108-118,0,0,0,0,0,0,0,7.76,0,0,0,0,0,0,0
120,0,0,0,0,1.63,0,0,5.06,0,0,0,0,0,0,0
