stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  5-6,22.88,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.63,0,0,0,0
 10-12,0,0,0,0,0,0,5.61,3.25,0,0,0
 14-21,0,0,0,0,0.83,0,8.43,0,0,3.99,2.95
 24-34,0.83,0,0,0,1.79,0,16.5,0,0,0,3.59
 36-46,0,0,2.86,1.04,0,0,21.59,0,0,0,1.91
 48-58,0,0,1.14,0.49,0.46,0,6.95,0,0,0,2.17
 60-70,0,0.68,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.49,0,1,0,4.7,0,2.11,0,0
 84-94,0,0,0,0,0.76,0,0,0,0,0,0
 96-106,0,0,0.85,0,0.93,0,1.03,0,0,0,0
108-118,0,0.68,2.62,3.83,4.01,0.7,2.29,0,0,0,0
120,0,0,0,0,1.21,0,4.29,0,0,0,0
