stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,121.48,1703.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.96,0,0,0,0,0,0,0,0,0
  5-6,75.37,931.71,0,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,0,8.85,0,0,0,6.17,0,9.04,0,0,0,0,0,0,0,0,0
  7-9,0,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.3,3.59,0,0,8.56,0,0,6.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,14.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.21,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,3.56,2.89,0,2.51,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0.84,0,0,0,101.54,0.8,0,0,0,0,0,1.12,0.91,0,0.88,76.44,0,0,0,0
 24-34,0,0,1.29,0.63,0.76,0,15.83,0,0,0,0,0,0,0,2.41,0,0,0,0,0,3.99,0,0,0,459.38,0.62,5.35,22.46,0,0,2.42,1.06,1.46,0,0,175.06,0,0,0,0
 36-46,0,0,0.74,0,0.76,0,10.78,0,0,0,7.58,0,0,0,1.37,0,0,0,1.44,0,5.86,0,0,5.79,738.05,0,6.95,3.72,0,0,12.01,0,0,0,0,259.95,0,0,0,0
 48-58,0,0,0,6.91,0.85,0,107.69,0,7.21,0,12.36,0,0,1.11,3.32,0,0,2.39,0,0.54,20.69,0,0,1.36,1282.61,0,5.12,13.5,0,0,0.37,0,1.12,0.95,0,256.52,0,0,0,1.39
 60-70,0,0,0,13.47,0,0,387.06,0,0,0.84,29.44,0.62,0,0,0.65,0,3.38,8.06,0,0,7.64,0,0,0.88,2083.09,0,2.71,58.24,0,0,5.28,0,0,0,0,379.51,0,0,0,11.76
 72-82,0,0,2.13,9.64,8.7,0,777.13,0,1.26,0.75,32.28,0,0,0,6.2,0,0.57,24.85,0,1.79,37.14,0.73,0.55,4.31,2453.98,2.6,26.16,50.21,0,0,2.04,0,0.58,0,0,304.46,0,5.04,0,0
 84-94,0,0,2.2,5.92,0.79,0,539.74,0,0.56,8.78,44.52,0.64,0,0,4.6,0,0.62,17.25,0,0,33.02,0,0.61,0,1670.35,0,27.43,68.52,0,0,8.83,0,1.75,0,0,234.79,1.95,0.87,0,0.82
 96-106,0,0,3.17,9.04,23.18,0,557.04,1.23,9.15,0.96,102.29,0,0,0,3.04,0,2.34,41.15,0,0,40.28,0,10.72,1.67,1572.91,0,15.47,100.12,0,0,22.31,2.06,1.61,0,0,129.49,1.78,2.26,0.74,0
108-118,0,0,2.08,14.13,5.42,0.59,531.28,0,0,0,81.29,1.53,0,0,4.51,1.53,0,18.8,1.83,0,18.34,1.08,1.94,1.64,2162.59,0,18.73,89.59,0,0,0.61,0,3.41,0.41,0,111.38,2.84,2.07,0,6.3
120,0,0,0,30.66,1.53,0,492.86,0,0,0,228.31,9.74,0,0,15.37,0,0,37.53,0,0,20.41,0,19.27,0,3452.21,1.17,15.13,138.26,0,2.67,4.06,0,2.78,0,0,223.28,0,0,0,0
