stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,lateral_line,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.72,721.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.61,646.46,0,0,0,0,0,0,0,0,0,0,0,29.9,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,134.48,0,34.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,7.2,0,0,0,0,0,0,12.75,0,9.41,0,0,5.78,0,0,0,0,0
 14-21,0,0,0,0.81,1.93,0,0,0,0,0,0,0,0,4.71,0.87,0,0,2.15,0,0.83,0,0,0,0
 24-34,0,0,0,0.86,3.78,0,0.62,1.36,0,0,0,0,1.66,15.33,0.75,0,0,0,0.59,7.77,0,0,0,0
 36-46,0,0,0,0,0,0,4.36,0,0,0,0,0,0,16.1,4.45,0,11.68,0,0,2.52,0,0,0.92,0
 48-58,0,0,0,0,0,0,1.39,0,0,0,0,0,0,27.89,0,0,0,0,0,4.05,0,0,0,0
 60-70,0,0,0,0,0,0,5.26,1.13,0,0,0,0,0,12.7,6.05,0,0,0,0,0.79,0,0,1.99,0
 72-82,0,0,0,0,0,0,2.72,8.87,0,0,0,0,0,43.45,6.01,0,0,0,0,0,0,0,0,8.54
 84-94,0,0,0,0,0,1.09,5.72,5.67,0,0,0,0.65,0,44,3.1,0,0,0,0,0,0,0,0.84,0
 96-106,0,0,0,0.78,0,0,2.51,2.45,0,0,0,1.44,0,27.45,2.34,0,0.86,0,0,6.16,0,0,0,0
108-118,0,0,0.74,0,0,6.59,5.23,1.08,0.56,0.83,0,0,0,45.21,1.77,0,0,0,0,0.45,0.67,0.54,1.19,0.58
120,0,0,0,1.26,0,0,7.22,0,0,0,1.37,0,0,34.25,1.54,0,0,0,0,0,0,0,0,0
