stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,124.85,2003.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.3,0,0,0,0,0,0,0,0,0,0
  5-6,102.52,2421.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.6,25.34,0,0,9.77,0,38.4,0,0,0,0,0,0,0,0,0,0
  7-9,167.81,123.86,0,226.67,0,0,349.68,0,0,0,0,0,70.41,0,0,0,0,0,0,0,0,0,0,0,2790.13,137.56,0,0,1139.6,0,6.7,15.51,0,0,0,0,0,0,0,0,0
 10-12,0,54.42,0,249.27,0,15.7,177.78,0,0,0,0,0,76.8,0,0,0,0,0,0,0,0,0,0,3.87,2678.5,180.26,0,0,1138.45,0,24.58,0,8.51,116.65,0,20.81,0,0,0,0,0
 14-21,0,0,2.15,4.7,56.54,21.48,27.91,0,0,0,9.7,6.08,3.12,4.32,0,4.28,0,0,0,0.91,23.96,0,0,16.69,288.67,13.49,2.05,0.97,9.92,0,37.54,1.26,62.76,8.75,7.13,51.1,87.51,0,6.76,0,0
 24-34,0,0,0,5.58,11.38,0,27.05,0,0,1.02,7.01,1.88,0,0,3.47,6.03,0,0,5.54,0,43.52,0,0,28.03,308.43,9.66,4.76,0,0,0,47.08,0,0,2.46,0.76,10.85,93.01,0,10.24,0,13.37
 36-46,0,0,0,0,3.4,0,17.01,2.83,2.95,0.79,1.84,0,0,0,0.73,2.14,0,1.36,2.64,0,13.73,0,0.71,3.17,163.01,22.99,3.15,0,0,0,29.63,2,0,3.8,1.69,0.6,51.08,1.04,3.35,0,1.51
 48-58,0,0,0,0,10.44,0.58,52.5,1.42,3.49,2.16,12.5,0.64,3.8,1.11,1.36,2.72,0,0,6.92,2.23,31.19,4.46,0.4,2.79,154.69,10.15,3.15,0.75,0,0,15.22,0.56,0,1.17,3.02,0,51.2,0,1.8,0,16.7
 60-70,0,0,0,0,1.48,0,62.56,0,0.96,0,19.18,0,0.66,0,0,0,3.59,0.84,9.86,3.44,15.3,0.73,0,0.67,58.62,2.32,4.02,0,0,0,23.03,1.07,0,3.95,0,0,22.87,0,0,0.64,0
 72-82,0,0,0,0,0.5,5.17,60.38,2.41,0,0,14.93,0,0,0,0,0,0,0,1.73,0,18.91,1.89,0,5.37,52.18,4.56,1.12,0.81,0,0,10.57,0,0,0.64,0.7,0,10.43,0,1.04,0,0
 84-94,0,0,0,0,1.78,0,27.19,0.66,0,2.61,14.03,0,0.64,0.85,1.05,2.71,1.18,0,2.75,0,24.4,0,0.6,4.96,25.16,0,0,0.56,0,0,18.8,0,0,1.83,1.34,0,0.65,0,0,0,0
 96-106,0,0,0,0,6.47,1.7,14.98,0,2.01,0,10.44,0,0,0.79,0,0,2.57,0,8.72,0,9.58,0,0,1.29,13.6,1.96,0,0.65,0,0,9.37,0,0,0.79,1.22,0,10.32,0,1.48,0.63,0
108-118,0,0,0,0,0.99,0,17.47,0,0,2.3,21.55,0.5,0,0,0,0,2.24,0,0.73,0,9.89,0,5.62,1.68,25.04,1.86,0,0,0,2.46,9.08,0,0,0,2.63,0,6.96,0,1.05,0.44,2.62
120,0,0,0,0,0,3.27,9.08,0,0,0,16.93,0,0,0,5.3,0,0,0,0,0,9.49,0,0,3.8,19.82,8.5,1.26,0,0,0,5.63,0,1.12,0,0,0,0,0,0,0,0
