stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,heart,iridophores,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,11.32,528.9,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0
  5-6,33.16,885.44,0,0,0,0,16.25,0,0,0,27,10.72,13.27,7.83,0,0
  7-9,0,12.19,4.95,0,30.93,0,4.16,0,0,0,278.59,5.61,98.76,0,0,0
 10-12,0,0,9.05,0,23.7,0,0,0,0,0,112.16,0,38.57,0,5.26,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.85,0,0,0,0,2.05
 24-34,0,0,0,0.66,0.73,0.87,0,0,0,1.05,6.18,0,0,0,0,2.43
 36-46,0,0,0,0,0.73,0,0,0,0,0,4.91,5.94,0,0,0,0.69
 48-58,0,0,0,0.51,0.38,0,0,0,0,0.96,6.66,0,0,0,0,1.91
 60-70,0,0,0,2.66,0,0,0,0,0,0.88,1.37,0,0,0,0,0
 72-82,0,0,0,0,0.79,0,0,0,0,0,2.31,0,0,0,0,0
 84-94,0,0,0,0,0.59,0.64,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.65,0,1.46,0.81,0,0,0,0,0,0,0
108-118,0,0,0,0.83,0,0,0,0,0,0,2.12,0,0,0.63,0,0
120,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0
