stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,9.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.37,6.23,0,0,0,0,0,0,0,0,8.95,0,0,0,0,0,0,0,0,0,0,51.42,0,0,5.17,0,0,5.5,0,0,0,0,0,0,0,0,0
 10-12,0,9.08,0,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43,0,0,0,0,0,6.41,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.08,1.97,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,5.73,0,4.42,24.01,0,0,0,0,0,0,2.78,1.91,2.81,3.9,0,0,0,0,0
 24-34,0,0.6,0.61,0,4.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0.69,1.63,45.04,0,0,0,0,0,0,0,0,1.46,5.18,0,0,12.17,0,0
 36-46,0,0,1.07,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83,0,3.38,32.73,1.42,0,0,0,0,0,0,0,0,1.69,0,0,1.99,0,0.81
 48-58,0,0,0,0,0.77,0.65,0,0,1.06,0,0,0,0,0,0,0,0,0,6.33,0,0,5.64,0,0,0,0,0,0,0,0,0,1.81,0,0,1.55,0,0.54
 60-70,0,0,0,4.68,16.31,0,0,1.47,4.27,0,0,0.59,0,0,0,0,0,0,6.51,0,0,17.67,0,7.6,0,0,0,0,0,0,0,7.2,0,0,0.59,0,0
 72-82,0,0,6.51,9.53,2.08,0,0.55,2.46,10.12,0,0,0,0,0,2.06,2.6,0,0,20.33,4.44,4.39,17.62,0,0,0,0,0.53,0,0,0,0,0,0,0,19.49,0,0
 84-94,0,0,5.37,26.96,0.72,0,0,5.25,1.22,0,0,0,0,0,0,0,0,0,21.26,0.82,1.83,8.45,0,0,0,0,0,0,0,0,0,0.84,0,0.71,2.85,1.66,11.06
 96-106,0,0,2.1,13.68,4.2,0,3.83,0,1.36,0,0,0,0.63,0,0,0,0,0.75,25.6,0,0.81,26.17,0.59,1.99,0,0,0,0,0,0,0,1.15,0,0,6.52,2.52,0.9
108-118,0,0,0,1.7,4,0.98,0.78,0,11.53,2.17,0,0,0.44,1.1,6.84,0,0,0,31.66,2.5,6.1,16.17,0,0,0,1.19,0.44,0,0,0.43,0,0,0.58,1.17,6.53,1.17,3.9
120,0,0,1.09,2.43,16.05,0,0,0,0,12.76,0,0,1.26,1.06,0,0,3.21,0,71.27,0,0,19.05,0,3.45,0,0,0,0,0,0,0,0,0,0,1.76,1.99,0
