stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.05,69.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.06,0,0,0,0,0,0,0,0
  5-6,0,65.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,0,0,0,508.11,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,65.91,0,0,0,36.64,0,20.96,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,14.19,4.45,0,0,0,0,0,0,4.64,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,11.21,0,0,0,0,0,6.06,0.98,0,4.03,0.89,0,0,0,0
 24-34,0,0,0,1.94,0,0,0,0.87,0,0,1.02,0,0,0,0.73,0,0,0,11.99,0,0,1.03,0,0,0,0,0,0,0,0,1.35,0,0
 36-46,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.63,0,0,0,0,0,0,0,0,0,0.71,0,0
 48-58,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0.45,0,0,0.39,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0,0
 60-70,0,0,0,4.05,0,1.43,0,0,0,0,0,0,0,0,1.66,0,0,0,1.34,1,0,1.73,0,0,0,0,0,0,0,1.44,0,0,0
 72-82,0,0,0,43.76,0,1.44,0,0,0,0,0,0,0,0,6.26,0,0,1.26,12.24,0,0,0.84,0,2.01,0,0,0,0,0,21.12,0,0,0
 84-94,0,0,0,113.27,0,1.35,0,0,14.44,0,0,0.91,0.66,1.77,4.06,0,0,0,5.94,0,0,0,0,0.79,40.1,0,0,0,0,301.54,0,0,0
 96-106,0,0,0.69,26.56,4.67,13.82,0,1.85,25.89,0,0,0,1.23,0,14.42,0,1.26,0,19.51,0,0,1.96,0,0.97,0,0,0,0,7.22,45.49,0,0,19.13
108-118,0,0,0.47,75.68,0,6.47,1.5,0.45,62.33,0,0,0,12.79,0.78,0.95,2.16,0,0,4.36,0,0,1.68,0,2.81,0.49,0,0,0,0,147.19,0,0,0
120,0,0,0,68.66,0,0,0,0,35.59,0,0,30.27,5.55,0,20.03,0,0,0,5.19,1.17,0,0,0,5.46,0,0,0,0,0,7.69,0,7.27,0
