stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,10.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,5.98,0,0,0,0,0,0,0,0,0,0,0,15.81,0,0,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,1.18,0,0,2.92,0,1.64,0,0.81,0,0,2.87,0,1.07,0,0,0.91,0.82,1.39,1.92,8.08,0,0
 24-34,0,0,0,3.7,0,0,0,1.84,0,0,0,0,35.21,2.22,0,0,0,0,0,0,0,31.94,0,0
 36-46,0,0,0,0.66,0,10.54,0,4.31,0,0,0,0,91.64,5.23,0,0,0,0,0,0,0,42.04,0.73,0
 48-58,0,0,0,22.1,0,27.71,0,13.49,0,0.5,2.52,0.53,150.75,2.22,0,0,0,0,0,0,0,86.85,2.8,0
 60-70,0,0.72,0,25.34,0,115.75,0,25.51,0.71,4.55,0,0,116.16,1.19,0,2.33,0,0,0,0,0,88.16,4.55,0
 72-82,0,0,1.94,88.09,0.68,92.91,0.71,26.5,0,4.31,0,0,205.14,18.17,0,0,0,0,0,0,0,13.8,8.72,0
 84-94,0,0,2.12,89.22,0,73.75,0,62.44,0,0,0,0,125.89,0.71,0,0,0,0,0,0,0,9.01,10.46,0
 96-106,0,0,0,45.39,0,59.53,0,58.84,0,0.78,0,0,102.21,6.3,0.84,5.16,0,0,0,0,0,6.2,10.36,3.73
108-118,0,2.26,0.54,43.95,0,64.87,0,72.93,0,4.09,0,0,260.55,2.84,4.88,0,0,0,0,0,0,4.46,8.39,0
120,0,0,0,47.75,0,68.31,0,74.64,0,0,0,0,230.66,1.09,0,0,0,0,0,0,0,0,0,0
