stage,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,pericytes,periderm,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0.82,0,0,0,4.66,0,0,1.06,0,0
 24-34,0.74,0,0,0,0,0,0,0,7.13,0,0,0,0,0.65
 36-46,0,0,2.83,0,0,0,0,0,7.47,0,0,0,4.1,0
 48-58,3.12,0,2.7,0,0,0,0,2.99,15.7,0,0,0,2.7,0
 60-70,12.05,0,0,0,0,0,0,0,1.67,0,0,0,0,0
 72-82,15.82,0,0,0,0,0,0,0,13.51,2.41,0,0,1.56,0
 84-94,0,0,0,0.6,0,0,0,0,1.99,0,0,0,1.09,0
 96-106,0,0,0,0,0,0,3.49,0,8.77,0,0,0,0,0
108-118,4.18,0.77,0,0,0,7.3,0.43,0,1.33,0,0,0,0,0
120,0,0,0,0,0,0,0,0,15.82,0,1.19,0,0,0
