stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,10.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,0,0,0,0
  5-6,21.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.89,0,0,0,0,0,0,0
  7-9,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,17.09,0,0,0,34.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.23,0,0,0,35.07,0,0,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,1.74,0,2.68,8.72,0,0,0,474.24,1.34,1.34,1.86,0,0,0,0
 24-34,0,1.35,0,0.71,0,0,0,0,0,0,0.93,1.63,0,0,18.23,0,1.1,0,379.9,0,0,1.86,0,0,0,0.78
 36-46,0,2.25,0,0,3.07,0,0,0,0,0,0.93,1.37,0,0.64,4.42,0.63,0,0,366.53,0,0,0,0,0,0,0
 48-58,0,8.85,1.27,2,0,0,0,0,0,0,2.53,3.74,0,2.14,14.93,0,0,0,241.33,0,0,4.45,0,0,0,0
 60-70,0,20.36,9.44,6.03,0,3.53,0,1.71,0,0,3.54,0,0,0,9.9,0,0,0,258.56,0,0,1.39,0,0,0,0
 72-82,0,27.44,4.87,1.21,0,0.55,0,0,0.56,0,1.72,0,0,0,8.39,0,2.13,0,177.5,0,0,0,0,0,0,0
 84-94,0,49.3,2.01,17.55,0,2.26,1.39,0,7.65,0,3.65,5.14,0,0,5.49,0,0,0,495.08,0,0,0,1.06,0,1.77,0
 96-106,0,80.13,3.04,25.19,0,0,0,0,5.65,0.61,1.75,4.19,0,0,25.97,0.72,0,0,513.96,0,0,0,0,1.2,0,0
108-118,0,61.7,5.66,20.87,1,1.9,0.42,0,5.37,0,0,1.48,1.16,0,12.79,0.49,0,1.32,384.43,0,0,0,0.51,0,0,0
120,0,57.42,5.95,19.97,0,0,0,0,6.85,0,14.1,2.76,0,0,2.47,2.64,0,0,236.08,0,0,0,1.14,0,0,0
