stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,4.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.66,0,0,0.62,0,0.89,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,2.28,3.48,0.75,0,0,0,0,0
 36-46,0,0,0,0,0,7.78,0,0,3.91,0,0,0,0,0,0,1.54,0,0,0,57.77,0,0,0,0,0,0.67,0,4.37,0,0,0,0,0
 48-58,0,0,4.07,0,0,42.29,0,0.85,0,0,0,0,0,0,0,0,0,0,0.83,126.85,0,0.9,0.82,0,0,0,0,5.77,0,0,0,0,0
 60-70,0,0,1.05,0,0,2470.32,9.83,0,3.95,0,0.57,0,0,0,0,9.06,0,0.82,1.67,400.65,0,1.16,6.36,0,0,0,0,8.33,0,0,0,0,0.99
 72-82,0,0,12.83,1.51,0,3943.52,0.5,0.61,42.66,1.06,0,0,0.57,0,5.32,18.87,0,0,0.91,518.6,0,0,2.04,0,1.74,0,0,1.38,0.56,1.61,0,0.52,0
 84-94,0,0,21.2,1.3,0,2759.78,0.56,0.85,97.33,0.75,2.89,0,0,0,0,10.8,0,0,0.76,440.82,0,0,1.86,0,0,3.47,2.06,3.97,0.61,1.28,0,0,0
 96-106,0,0.91,10.12,6.36,1.05,4732.36,3.41,0,63.05,1.71,5.45,0,0.8,0,0.97,21.22,6.9,2.29,0,421.87,0.65,1.96,3.43,0,1.51,6.72,0,4.93,4.97,0,5.58,0,4.01
108-118,0,0,15.02,0,4.57,3448.49,0,0.65,70.46,4.86,3.2,0.86,4.51,0.61,1.31,24.8,0,2.12,6.16,390.43,0.75,0.45,8.42,0,0,3.78,1.3,2.82,1.21,0,0,2.92,0
120,0,0,8.8,4.06,0,1887.34,1.11,0,62.84,3.32,0,0,0,0,19.69,21.87,0,0,4.8,606.49,0,0,2,0,0,0,6.53,0,1.81,0,0,0,0
