stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,97.25,1792.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.7,0,0,0,0,0,0,0,0,0,0
  5-6,86.48,753.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.68,0,0,0,0,0,24.55,0,0,0,0,0,0,0,0,0,0
  7-9,5.67,13.38,12.67,0,0,63.59,0,0,0,0,0,7.53,0,0,0,0,0,0,0,0,0,554,3.84,0,0,123.15,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.78,71.52,0,10.84,56.56,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,866.14,3.05,0,0,248.07,0,0,5.55,0,26.5,0,0,0,0,0,0,0
 14-21,0.89,0,3.09,142.72,28.22,22.27,0,0,0,3.94,4.59,2.04,3.43,3.29,0,0,0,51.24,0,0,43.01,399.74,1.35,0.86,8.65,5.01,0,10.48,1.23,46.68,6.37,6.3,41.94,76.31,0,0,2.8,0
 24-34,0,0,0,41.2,2.47,29.81,0,1.49,0,5.28,0,0,0,1.26,2.24,9.35,0,59.56,0,0,22.37,338.6,0,5.43,4.43,0,0,1.55,0.98,0,0,0.72,11.71,67.2,0,0,27.86,0
 36-46,0,0,0,32.59,0.58,20.74,0,1.06,1.7,20.57,0.56,0,0.84,0,0,0.66,1.56,34.35,5.89,0.86,15.22,112.27,0,3.03,2.16,0,0,3.68,0.68,1.78,0,0,0,25.48,0,0,7.08,0
 48-58,0,0,0.43,9.8,0,34.53,0,4.84,1.36,25.08,0,0,0.4,0.52,0,0.74,0,32.96,0,2.38,3.48,49.73,0,0.79,0.38,0,0.45,4.02,0,0,0,0,0,11.89,0,0,1.42,0
 60-70,0,0,0,14,0,15.54,0,5.3,0.84,21.09,0,0,0,0,6.06,0.8,0,32.44,0,0,7.4,28.08,0,0,19.08,0,1.08,0,0,0,0,0,0,3.53,0,0,0.71,0.59
 72-82,0,0,0,7.9,0,19.19,1.57,0,0.68,11.53,0.62,2.07,0,0,0,1.56,1.65,27.46,0.58,2.88,1.15,19.65,0,0,10.9,0,0,1.2,0,0,0,0,0,7.84,0,0.99,1,1.68
 84-94,0,0,0,5.51,0,15.28,0,1.48,1.54,25.63,0,0,0,1.96,0,0.9,0,32.62,0,0,1.96,18.74,0,4.21,4.93,0,0,3.59,0,0,1.11,0,0,4.03,0,1.54,3.06,0
 96-106,0,0,0,10.18,0,2.1,0,4,0,32.89,0,0,0,0,0,3.73,0,22.47,0,10.96,2.34,20.89,0,7.02,11.61,0,0,2.21,0,0,0,0,0,0,0,0,1.8,3.06
108-118,0,0,0,15.37,0,5.79,0,4.92,0.7,25.66,0,0,0,0.64,0,3.88,0,22.45,0,3.43,4.06,19.71,0.43,1.01,6.52,0,0,3.19,0.42,0,0,0,0,0,0,0,1.28,0
120,0,0,0,9.64,0,0,0,6.33,0,9.51,0,0,0,0,0,0,0,41.1,0,11.39,1.12,68.46,0,1.15,0,0,0,0,0,0,0,0,0,0,3.66,0,10.81,0
