stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,10.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.55,25.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.87,3.92,0,1.14,0,0,0,0.9,0.98,0,0,0,0,0,0,0,0.91,0,0,0.9,10.31,0,0,0,0,1.18,4.51,0,0,0,0,0
 24-34,0,0,0.65,0.59,0.67,0,2.9,0,0.6,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,43.98,0,0,0.74,0.63,0.64,12.05,0,0,10.09,0,0
 36-46,0,0,0,0,0,0,10.39,0,1.39,0,3.07,0,0,0,0,0,0.61,0,0,7.29,0,0,0,90.63,0,7.4,0.96,8.91,0,14.02,0,0,0.75,0,3.2
 48-58,0,0,0,0,0.71,0,26.18,0,0.45,0,3.06,0,0,0,11.64,0,0,0,0,8.26,0,0,1.47,133.65,0,1.83,0,0.44,0,24.9,0,0,2.83,0,1.04
 60-70,0,0,0,0,2.61,0,101.29,3.1,0.63,1.03,18.14,0,0,0.65,0,0,0,0,0.71,13.33,0,0,1.49,229.3,0,2.28,0,2.2,0,33.49,0,0,1.17,0,0
 72-82,0,0,0,0,0.82,7.92,63.03,0,0,0,13.27,0,1.42,0.67,0.6,0,0,0,0,16.1,1.47,1.23,1.27,114.9,0,0,2.22,0,0,11.87,0,0,0,0.49,0
 84-94,0,0,0,0,1.91,1.37,71.6,0,0.66,0,6.49,0,0,1.36,0.55,0,0,0.89,0,12.25,0,0,4.71,78.87,1.17,2.43,2.6,9.21,0,14.98,1.37,1.96,0.72,0,1.89
 96-106,0,0,0,0,3.17,9.13,82.97,0.73,0.68,0,13.64,2.39,0,0,1.18,0,4.32,0.7,0,15.86,0.7,0,0.58,112.89,0,1.87,0.82,9.33,0,4.67,1.97,0,1.41,0.72,0
108-118,0,0,0,0,9.08,1.56,56.64,0,1.44,6.42,11.92,0.43,0,0,2.81,0.5,0,0,0.51,20.4,0.71,0,2.28,125.87,0,1.5,0.82,2.76,0,2.91,0,0,4.18,0,0
120,0,0,0,0,21.52,0,10.86,0,0,2.1,16.65,0,0,0,0,0,1.62,0,0,10.48,0,0,0,120.17,0,0,0,8.75,0,5.59,0,5.4,14.33,0,0
