stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,11.65,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,40.67,0,0,0,0,0,0,0,0,1.07,0,4.79,0,0
 24-34,0,112.49,0,0,0,0,0,0,2.51,0,15.31,5.95,27.59,0,3.27
 36-46,0,50.6,0,0,0.68,1.05,0,0,1.04,0,13.67,0,80.07,0,0
 48-58,0,46.76,6.67,0,0,0.91,0,0.38,1.68,0,28.88,0,105.07,0,0
 60-70,0,39.92,10.52,0,0,13.02,0,0,0.6,0,16.63,0,167.36,0,2.13
 72-82,0,29.31,22.26,2.7,0,0.62,0,0,0,0,5.76,0,70.78,0,0
 84-94,0,52.23,6.97,0,0,3.6,0,0,0,0,7.92,0,54.51,1.32,0
 96-106,0,40.04,9.39,0,0,0,0,0.71,1.79,0,29.92,0,36.37,0,0
108-118,0,26.64,15.8,0,0,0,0.43,0,0.98,0.63,8.16,0.56,23.18,0,0
120,19.16,91.7,12.64,0,1.35,0,0,0,5.56,0,29.28,8.08,54.44,0,0
