stage,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,4.58,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0,0,0,452.4,0,0,7.95,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.62,0,9.31,0,0,2.23,1,0,0,0,0,0,1.08,0,0,0.87,463.86,4.7,0,0,0,1.08,14.55,48.06,0,0,0,4.33
 24-34,0,0,0,2.9,0,25.61,0,0,1.8,0,0,0.76,0,0,0,0.62,20.66,0,12.26,105.41,0.75,0,0,0.71,0,31.56,106.05,0,0,4.02,0
 36-46,0,0,0,8.7,0,13.87,0,0.9,11.63,0.56,0,0,0,0.66,0,0,81.81,0,15.82,20.61,0,0,0,0,0,30.57,84.8,0,0,9.47,0.67
 48-58,0,0,0,0.83,0,2.99,0,0,6.14,0,0,0,1.23,9.42,0,0,97.24,2.73,30.91,25.06,0,0,0,0,0,3.55,51.05,0,0,17.61,0
 60-70,0,0,0,3.33,0,10.75,0,2.04,0,0,0,0,0.94,14.89,0,0,130.65,0,11.95,29.62,0,1.14,0,0,0,0,27.36,0,0,18.58,0
 72-82,0,0,0,0,0,7.84,0,0,1.02,0,0,0,16.4,41.01,0,0,200.9,1.06,22.67,8.27,0,0,0,0,0,1.5,27.59,1.87,0,40.08,0
 84-94,0,0,0,3.24,0,11.07,4.74,3.66,5.2,0,0.66,0,18.82,29.33,0.85,0,151.42,0,35.04,1.03,0,0.79,0,0,0,0,15.36,0.66,1.21,29.3,0
 96-106,0,0,0,3.2,0.7,12.19,1.91,6.87,0,0.79,0,0,6.17,39.39,0,0,169.69,0,31.01,29.86,0,1.03,0,1.87,0,0.61,19.56,0,0,9.3,0
108-118,0,3.12,0,1.28,0,30.08,1,0,2.08,0,0,0,1.5,26.57,4.62,0,219.15,8.76,30.76,7.23,0,0.92,0,0,0,0,17.51,2.18,2.32,13.14,0
120,0,0,3.17,0,0,10.12,0,4.94,2.7,0,0,0,12.1,17.1,0,0,177.37,0,16.04,6.11,0,0,0,0,0,1.64,4.25,1.19,0,35.2,0
