stage,blastomeres,epidermis,eye,glial,iridophores,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,14.07,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.09,0,0
 14-21,0,0,0,0,0,0,1.24,0,0,0
 24-34,0,0,1.81,0,0,0,4.53,0,0,4.32
 36-46,0,0,0,1.98,0,0,18.26,0,0,5.98
 48-58,0,0.41,7.51,0,0,0.44,48.85,0,0,6.2
 60-70,0,0,17,0,0,1.02,44.05,0,0,12.89
 72-82,0,0.98,9.85,0.82,0,1.58,56.82,0,0,8.11
 84-94,0,0,18.13,0,0,0,34.4,0,0,3.82
 96-106,0,0,35.75,0,0,0,26.25,0,1.46,0
108-118,0,0,3.06,2.15,0,3.73,47.49,0,0,0
120,0,0,7.43,0,1.11,0,44.49,0,0,1.53
