stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,spinal.cord,vasculature
  3-4,9.61,415.61,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,175.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0
 10-12,0,0,0,0,0,0,0,0,6.62,0,0,0,0,0
 14-21,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,4.67,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0
 60-70,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,3.12,0,2.35,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,12.72,1.19,1.56,2.39,0,3.15,0,0,0,2.19
108-118,0,0,0,0,7.27,0,0,0,1.17,2.18,0.48,0,0,0
