stage,eye,glial,neural,spinal_cord,visceral_smooth_muscle
 24-34,0,0,0,0.62,0
 36-46,0,0,3.24,0,0
 48-58,0,0,8.7,0,0
 60-70,0,0,7.84,0,0
 72-82,7.33,0,10.14,0,0
 84-94,2.91,0.96,0.73,0,1.36
 96-106,0.77,0,8.09,0,0
108-118,2.63,0.45,23.87,0,0
120,6.06,0,7.42,0,0
