stage,epidermis,erythrocytes,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,otic,periderm,vasculature
 14-21,0,0.91,0,0,0,0,0,0,1.52,0,0,1.11,0
 24-34,0,0,0,0.79,0,0.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.78,0
 72-82,0,0,0,0,0,0,13.12,0,0,0,0,0,0
 84-94,0.66,0,0,0,0,0,4.7,0.99,0,0,0,0,0
 96-106,2.19,0,0,0,13.15,0,0.91,1.34,0,0.88,0,0,0
108-118,0,0,0,1.34,0,1.23,2.24,0,0,0.74,0,0,0.61
120,0,0,1.72,0,0,1.33,4.04,7.07,0,7.69,1.12,0,0
