stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
  5-6,23.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.53,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,31.22,0,0,36.21,0,0,0,0,0,0,0,0,0
 10-12,0,7.5,0,0,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96,0,0,20.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.56,0.85,3.39,0,0,0,0,0.82,0.98,0,0,0,0,3.03,0,1.27,22.35,0,0.81,0,1.5,0.92,0,5.31,3.08,0,0,0,0
 24-34,0,0,1.45,2.05,13.93,0,0,0,0,0,0,0,0,1.01,0,4.26,0,2.05,69.39,0,0.68,0,0.68,0,0,0.7,11.17,0,0,0,0
 36-46,0,0,8.79,1.17,2.83,1.29,0,0,0.92,0,0,0,0.63,0,0,0.68,1.06,4.32,57.93,0.93,0,0,3.47,0,0,0,1.84,0,2.32,0,0
 48-58,0,0,3.27,0,20.98,1.56,0,0.8,1.58,0,0,0,0,0,0,4.39,0,0.82,72.17,0,0,0,3.22,0,0,0,6.53,0.85,6.92,0,8.56
 60-70,0,0,1.02,0,16.71,0,0,2.54,0,0,0,0,5.18,0,0,5.23,0,0,27.44,0,0.91,0,5.32,0,0.62,0,4.78,0,3.46,0,0
 72-82,0,0,1.56,0,17.44,0,0,0,1.39,0,0,0,1.02,0,0,4.29,0,0.68,16.23,0,0,0,1.48,0,0,0,0.56,0.94,0,0,1.89
 84-94,0,0,0.84,0.79,9.03,0,1.11,0,2.16,0,0,0,0,0,0,1.31,0,0,10.99,0,1.29,0,1.58,0,0,0,0,0,2.97,0,0
 96-106,0,0,6.45,0,16.78,0,0,0,0,0,0,0,0,0,0,1.32,0,0,7.55,0,0,0,6.66,0,0,0,0,0,0.83,0.64,7.37
108-118,0,0,0.8,1.25,1.39,0,0,0,0,0.46,0,0,0,0,0,2.51,0,0,5.46,0,0,0,7.38,0,0,0,0,0,0,0,1.14
120,0,0,4.97,10.35,10.01,0,0,0,2.85,0,0,13.01,1.07,0,5.91,0,0,2.23,42.95,0,0,0,0,0,0,0,0,0,1.44,0,0
