stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,6.95,7.28,105.72,42.81,0,43.17,0,2.28,0,12.16,13.83,13.99,4.73,14.33,59.34,1.97,0.92,27.56,18.64,38.92,9.36,0,20.77,444.04,75.26,4.66,17.74,13.45,0,14.33,0,82.81,13.57,17.55,68.49,210.63,0,0,22.06,0,26.8
 24-34,6.03,4.49,24.94,6.45,0,69.96,0,2.98,2.53,6.65,1.42,2.95,0,43.56,211.4,0,0.81,22.24,61.97,30.92,20.14,0,18.3,918.19,5.56,40.57,6.64,0,0,31.5,0,3.08,24.31,2.17,17.67,244.85,0,0,55.59,0,56.12
 36-46,0.95,1.08,18.86,16.44,0,216.98,0,8.93,4.2,32.96,0,0,2.25,92.85,174.67,19.48,2.96,4.73,89.1,54.45,10,0,16.71,1585.84,9.56,40.8,23.28,0,1.69,55.67,0,0,15.33,0,0,363.22,0,0,29.95,0,68.15
 48-58,1.14,0,33.03,6.56,0,563.71,7.37,10.26,5.62,136.31,3.6,0.92,1.45,113.65,21.86,20.91,3.65,0.8,101.12,108.42,4.58,4.33,20.06,2247.28,13.33,33.78,3.74,0,0.56,61.51,0,0,14.9,1.93,0,518.53,0,1.51,51.19,0.9,107.47
 60-70,4.14,0,47.59,6.98,0,1729.18,4.67,15.36,10.88,140.94,10.34,0.88,0.69,94.49,26.71,54.12,7.89,13,23.4,182.88,2.87,3.9,9.83,2817.1,12.21,38.34,20.71,0,0,39.29,0,0,10.66,0,0,402.21,2.03,1.63,50.3,0,130.36
 72-82,11.66,0.75,17.35,22.45,0,2248.06,1.29,3.78,12.79,231.72,13.34,0,3.24,135.54,25.88,61.96,13.52,9.02,12.74,245.33,10.85,11.06,14.1,2707.95,0,41.83,26.07,0,6.74,35.07,1.65,0,13.69,0,0,281.74,4.21,7.19,46.24,2.71,133.5
 84-94,6.14,0,45.24,23.62,0,1364.58,1.33,7.78,7.06,163.4,23.3,2.43,0.8,102.2,51.77,46.73,6.74,14.21,30.13,153.64,12.12,6.59,5.69,1500.9,1.54,31.88,20.11,0,0.57,74.9,0,0,29.31,0,0,152.32,7.26,3.54,44.89,2.03,39.03
 96-106,8.42,0,42.78,24.28,0.84,1679.82,0,4.56,7.75,177.77,35.84,0,3.22,124.19,49.67,35.41,11.5,11.32,31.43,191.58,4.36,5.86,16.86,1315.38,3.3,54.82,25.99,0,1.32,69.24,0,0,23.87,4.28,0,71.76,6.45,2.9,51.67,10.43,65.8
108-118,9.58,0,52.63,37.22,4.71,1273.19,0.45,11.43,4.85,176.36,25.18,0,5.16,135.77,68.08,49,15.76,12.95,14.75,195.86,7.12,8.84,9.3,2212.03,2.63,35.29,27.91,0,6.33,56.45,0,0,9.23,0.56,0,72.12,11.71,4.16,61.19,3.52,35.05
120,6.69,1.66,81.29,55.76,0,985.57,2.19,20.62,6.94,248.38,20.43,0,1.61,230.68,40.69,42.69,5.37,21.59,6.96,215.72,19.32,21.29,28.24,4245.54,19.79,70.89,67.92,0,0,89.07,0,0,39.53,2.33,0,128.21,12.88,6.62,101.61,7.36,39.7
