stage,axial,blastomeres,erythrocytes,fin.epithelia,fin.mesenchyme,immune,ionocyte,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm
  3-4,0,54.26,0,0,0,0,0,0,0,0,0,0
  5-6,9.46,114.01,0,0,0,0,0,0,14.88,0,0,18.53
  7-9,0,0,0,0,0,0,0,0,16.94,0,13.16,0
 10-12,0,17.43,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.75,0,1.28,0,0,1.56
 36-46,0,0,0,0,0.6,1.77,0,0,0,0,0,0
 48-58,0,0,0,2.97,0,2.16,0,0,2.65,0.56,0,0
 60-70,0,0,0,0,0.84,5.58,0,0,0,0,0,3
 72-82,0,0,0.54,0,0,2.88,0,0,0.68,0,0,0
 84-94,0,0,0,0,0,12.85,0,0,3.1,0,0,1.36
 96-106,0,0,0,1.02,0,5.53,0,0,0.74,0,0,0.95
108-118,0,0,0,0,0,6.63,0,2.02,0,0,0,0.47
120,0,0,0,0,0,27.8,0,0,0,0,0,0
