stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,508.48,8215.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.56,0,0,0,0,0,0,0,0,0,0,0
  5-6,519.61,6130.66,0,9.08,0,0,0,0,0,0,0,0,47.03,0,0,0,0,0,0,0,0,0,0,0,276,13.98,0,0,35.31,0,74.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.14,96.78,0,134.55,0,0,0,172.89,0,0,0,0,51.02,0,0,0,0,0,0,0,0,0,0,0,2237.2,87.78,0,0,902.46,0,0,20.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,132.94,0,136.21,0,40.39,0,173.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023.81,55.62,0,0,681.15,0,0,3.03,0,136.41,0,0,12.8,0,0,0,0,0
 14-21,3.19,0,0,3.57,92.69,20.07,0,28.14,0,0,10.44,4.19,0,4.59,0,0,0,0.93,0,0,32.16,0,0,35.57,470.69,7.83,3.29,9.67,11.69,0,3.05,0.9,81.99,6.43,0.81,61.26,115.47,0,0,5.96,0,2.45
 24-34,0,0,0,2.36,26.99,3.94,0,61.02,0,0.71,16.19,0,0,3.06,3.88,0,1.14,0,3.65,2.8,64.52,0,0,42.18,783.17,7.63,8.58,7.63,0,0,5.27,0,0,1.89,0,14.44,176.42,0,0,40.31,0,1.01
 36-46,0,0,0,0,6.02,0,0,153.25,5.07,3.72,30.24,0,0,1.77,14.02,0,0,0.74,1.14,3.63,101.87,0,0,22.45,651.39,6.88,7.77,6.47,0,0,0.58,0,0,2,0,0,152.69,0,0,9.55,0,2.16
 48-58,0,0,0,0.43,4.67,0.72,0,204.83,0.41,5.96,57.59,0,1.06,0.83,0.39,0,0.87,1.57,0.39,0.39,136.46,0.52,2.92,15.14,455.95,0.39,4.58,3.27,0,0,5.49,0,0,6.18,0,0,125.12,0,0,13.72,0,14.65
 60-70,0.81,0,0.82,0,2.27,5.56,0,240.44,0,8.92,36.2,0.81,0,0.7,1.35,3.34,0,2.45,0,0.95,139.35,3.73,7.41,13.6,246.44,5.27,2.55,1.42,0,2.4,3.4,0,0,0,0,0,32.29,0,4.15,10.68,0.98,20.34
 72-82,0,0,0,0,7.2,23.48,1.86,246.64,0,2.78,37.05,1.39,0,2.52,1.67,0.61,0.59,1.97,0.68,0,111.36,0.57,5.97,16.88,240.05,0.55,4.18,0.49,0,0.8,3.73,0,0,0,0,0,55.75,1.34,0.78,8.47,4.05,10.41
 84-94,0,0,0,0,10.68,26.34,0,114.72,1.76,2.21,20.79,1.46,0.71,0,7.76,1.45,3.52,3.85,0,12.31,93.89,0,14.98,7.71,142.44,0,0,4.51,0,0,10.38,0,0,0,0,0,8.17,0.56,1.63,8.44,0.62,16.29
 96-106,0,0,1.68,0,12.52,75.3,0.72,129.33,0.62,13.87,42.47,6.85,0,2.75,5.6,5.56,1.83,3.23,0,0,156.52,0,3.01,7.31,143.65,2.63,14.06,6.48,0,0,21.71,0,0,1.05,0,0,13.82,3.02,2.76,21.29,4.14,10.01
108-118,0,0,0,0.61,10.04,31.12,0,59.12,3.44,1.53,24.68,1.08,0,0,1.27,2.79,6.41,0.67,0.73,1.44,121.67,0,5.77,9.89,150.32,1.47,2.75,7.75,0,1.84,16.08,0,0,0.9,0,0,2.51,8.18,2.45,11.64,1.19,12.05
120,0,0,1.22,0,18.07,22.49,0,131.11,2.7,5.23,45.63,3.17,0,0,9.96,0,0,0,5.22,2.87,86.04,0,5.22,29.62,197.49,13.81,4.55,8.4,0,0,21.54,0,0,1.38,0,0,0,0,0,23.48,0,1.16
