stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  5-6,22.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.45,0,0,0,0,0,0,0,5.9,4.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33,0,14.83,0,0,0,0
 14-21,0,1.26,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0.91,0
 24-34,0,0,0,0.94,0,0,0,0,0,0,33.57,0,0,0,0,0,0.61,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,20.69,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,5.54,0,68.31,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,17.05,0,0,1.56,0,0,0,0,0,3.83
 72-82,0,0,0,0,0,0,0,0,0,0,30.03,0,0,1.49,0,0,0,0,0,0
 84-94,0,0,1.66,0,1.8,0,0,0,0.75,0,51.32,0,0,1.64,0,0,0.64,0,0,0
 96-106,0,0,0,8.31,0,0,0,0.73,0,0,27.58,1.39,0,1.76,0,0,0,0.58,0,0
108-118,0,0.53,0,0,0,0.57,0,0,0,0,86.8,0,0.77,4.03,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,5.57,18.73,3.64,0,0,0,0,0,0,0,0
