stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  5-6,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.85,0,0,0,0,0,0,0,0,0,9.74,0,0,4.46,6.22,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,0,6.82,0,0,0,0
 24-34,0,1.25,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.58,0,0,2.48,0.59,0,0,11.53,0,0,1.85,0
 48-58,0,2.68,0,0,1.69,0.67,0,0,0,0,0,0,12.16,5.76,0,0,126.08,3.04,0,0,0
 60-70,0,8.91,0.62,0,4.88,0,0,2.54,0,0,1.11,0,0,1.19,0,0,306.95,0,0,0.7,0
 72-82,0,35.58,9.07,0,5.59,0,0,0.66,0.64,1.42,0,0,2.89,0.49,1.66,0,354.13,0,0,3.26,1.78
 84-94,0,100.08,0,0,20.5,0.78,0.72,3.97,0,2.16,5.47,0,4.76,2.78,0,0,728.96,0,0.56,0,0
 96-106,0,149.65,5.71,0,31.92,4.05,2.39,7.53,0.58,11.3,7.46,3.23,19.9,1.93,0,0,874.45,9.17,0.66,1.13,2.94
108-118,0,108.11,1.16,0.76,27.31,0,3.48,10.69,0,0,4.89,0.59,17.28,0.67,3.07,0,553.56,0,1.25,0,0
120,0,126.24,0,0,39.85,0,0,14.7,0,0,13.43,0,9.65,18.25,0,0,438.42,0,3.15,0,0
