stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,11.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.02,0,0,0,0,0,0,0,0,0
 14-21,0,0,22.61,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,3.23,0,0,0.95,2.68,0,0,4.65,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.75,0,0,0,1.36,0,1.8,0,0,0,1.81,0,0,0.61,15.29,0,0,30.66,0.73,0.8,0,0,0,0
 36-46,0,0,6.35,0,0,0.74,0,5.88,0,0,0,2.56,0,0.62,0,0,0,2.79,0,0,0,17.83,0.56,0,20.45,0,0,0,0,0,0
 48-58,0,0,9.1,0,0,0,0,0.66,2.2,0,0,9.13,0,0,0.39,0,0,33.15,1.11,0,0,16.13,0,0,7.05,0,3.18,0,0,0,0
 60-70,0,0,6.26,0,0,7.97,0,2.22,0,0,0,15.05,0.86,1.46,0,0,0,10.22,0,0.89,1.32,60.42,0,0,12.03,0,0,0,0.64,0,0
 72-82,0,0,8.86,0,0,10.35,0.59,0,0,3.12,0,24.23,3.18,18.3,3.54,0,0,51.65,0.49,1.08,0,47.64,0,0,10.23,0,0,2.19,0,0,0
 84-94,0,0,15.43,0,0,5.52,0,0.58,0,2.19,0.96,5.87,3.22,24.72,0,0.57,2.53,63.14,0,1.84,0,77.59,0,1.57,30.27,0,0,12.42,0,3.34,0
 96-106,0,1.15,14.67,0,0.56,5.22,0,0.79,0,0.86,1.52,9.08,9.12,24.79,4.74,0.62,0,83.94,0,1.37,0,43.81,7.09,1.62,25.18,0,0,4.94,0,4.91,1.24
108-118,0,0,37.02,2.45,0,1.21,0,5.56,0,0,0.5,4.23,18.96,27.32,0.67,1.3,0,52.16,1.25,0,0,52.79,0,0,24.66,0,0,6.17,0,3.14,0
120,0,0,31.2,0,0,1.76,0,9.63,0,0,0,0,23.27,20.13,4.72,0,0,98.09,1.56,0,0,80.59,0,0,21.45,0,0,0,0,0,0
