stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,110.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.76,307.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,0,0,0,0,0,0,0
  7-9,0,8.77,0,12.74,0,0,22.93,0,0,0,0,0,0,0,0,0,0,395.46,12.89,0,0,123.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,33.05,0,0,17.58,0,0,0,0,0,0,0,0,0,0,397.38,32.76,0,0,102.72,0,0,11.28,0,0,0,0,0
 14-21,0,0,1.09,0,21.27,0,1.73,0,0,50.94,0.85,0,0,0,9.73,0,0,74.14,1.78,5.29,13.19,2.01,1.15,2.11,22.16,0,0,201.65,0,0
 24-34,0,0,0,1.8,3.67,0,0,0,0,57.31,0,0,1.97,0,1.75,0,1.27,58.44,4.9,17.66,4.47,0,1.01,0,23.11,0,3.81,97.46,0,0
 36-46,0,0,0,0,0,0,2.78,0,0,57.62,1.22,0,1.59,0,3.38,0,0,50.46,0,17.75,2.37,0,2.35,0,7.98,9.81,0,89.03,0,0
 48-58,0,0,0,0,0.96,0,3.35,0,0.54,29.38,0,0,1.3,0,4.51,0,0.98,33.98,0,15.66,1.73,0,7.74,0,6.21,0,0,74.35,0,0
 60-70,0,0,0,0,0,0,11.87,0,0.68,52.38,0,0,0.57,0.74,3.15,0.73,0,27.7,0,13.16,3.63,0,3.84,0,3.47,0,0,49.51,0,0
 72-82,0,0,2.18,0,0,0,9.63,0,0,59.86,2.03,0,5.17,0,2.76,0,0,22.18,0,16.23,9.38,0,0,0,1.43,0,0,35.83,0,0
 84-94,0,0,4.84,0,0,0,17.2,1.38,0,78.54,2,0,3.24,0,1.48,0,0,17.99,0,24.09,9.22,0,0,0,6.44,0,0,30.33,0.71,0.82
 96-106,0,0,1.56,0.58,0.6,3.54,6.33,0,0,51.52,1.01,1.46,4.92,0,4.13,0,0,16.99,0,35.29,8.68,0,0,0,1.57,0.6,0,19.7,0,0
108-118,0,0,1.75,0.42,1.93,0,4.05,0,0,48.75,0.81,0.47,1.89,0,3.59,0,0,8.43,0,12.73,15.38,0,0,0,3.06,0,0,10.77,0,0
120,0,0,3.9,0,0,0,4.2,0,0,44.87,12.38,4.13,1.54,0,0,0,1.9,1.22,0,38.13,20.05,0,0,0,6.91,0,0,3.37,0,0
