stage,erythrocytes,glial,immune,mesenchyme,neural,olfactory,periderm,slow_muscle,vasculature
 24-34,0,0,0,0,0,0,0,1.26,0
 48-58,0,0.97,2.7,0,0,0.98,0,0,3.48
 60-70,0,0,3.73,0,0.75,0,0,0,0
 72-82,0,0,12.52,0,1.17,0,0,0,0
 84-94,0.92,0,15.12,0,0,0,0,0,1.56
 96-106,0,1.58,10.34,0,0.6,0,0.79,0,0
108-118,0,0.54,14.06,1.49,0.89,0,0,0,1.67
120,0,0,50.3,0,0,0,0,0,1.46
