stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,24.82,33.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.95,41.94,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,32.41,42.38,3.86,0,0,21.72,0,0,0,0,0,3.46,0,0,0,0,0,0,0,0,0,0,192.41,28.84,0,0,71.79,0,0,0,0,0,0,0,0,0,0
 10-12,0,41.67,30.98,0,0,61.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506.37,30.8,0,0,120.46,0,3.57,11.84,0,0,24.09,0,0,0,0
 14-21,0,0,0,4.61,0,15.58,0,0,0,144.49,0,1.74,0,0,0,0,0,0,3.56,0,0,2.5,4012.5,5.69,1.51,0,0,0,3.59,2.34,3.47,3.14,1506.62,0,0,0,0
 24-34,0,0,2.2,16.06,1.48,50.76,0,1.39,0.61,451.48,0.75,3.07,0,0,1.33,0,0,3.78,25.25,0,0.91,50.07,20134.48,2.41,4.66,5.19,0,13.01,0,1.32,1.87,9.01,5851.53,0,26.39,0,0
 36-46,0,0,0,8.09,0,42.9,3.42,0,0,420.58,0.82,0,0.56,2.79,0.89,0,5.93,1.9,22.73,0,2.34,7.79,8209.06,1.86,3.91,0.57,0,21.88,0,0,0,0.9,5432.21,0,10.57,0,10.61
 48-58,0,0,0,3.93,0,72,0,0,0,482.05,0,0,0,0,0,0,0,0,14.39,0.57,0,2.92,1511.99,0,0.64,0,0,0,0,0,0,0,1527.97,0,1.1,0,2.84
 60-70,0,0,0,2.17,0,49.89,0,0.99,0,213.88,0,0,0,0,0,0,0,0,18.41,0,0,0,283.22,0,0.96,0,0,0,0,0,0,0,175.19,0,0,0,3.58
 72-82,0,0,0,6,0,50.89,2.53,0,0,276.85,0,0,0,0.59,0,0,0,0,5.03,0,0,0,177.5,0,0,0,0,2.71,0,0,0,0,54.97,0.87,0,0,0
 84-94,0,0,0,0,0,11.94,0,0,0,194.11,0,0,2.51,0,0,0,0,0,1.95,0,0,0,101.61,0,0,0,0,0,0,0,0,0,66.51,0,0,0.62,0
 96-106,0,0,0,0.87,0,13.36,0,0,0,247.4,0.86,0,0,0,0,0,0,0,6.66,0,1.42,0,83.42,0,0,0,0,2.45,0,0,0,0,40.5,0,0.61,0,0
108-118,0,0,0,1.68,0,8.91,0,0,0,278.25,0,0,0,0,0,0,0,0,1.53,0,0,1.19,106.07,0,0.55,0,0,0,0,0,0,0,11.3,0,1.18,0,0
120,0,0,0,0,0,33.17,0,0,0,475.48,0,0,0,0,0,4.64,0,0,8.2,0,0,0,132.84,0,0,0,0,0,0,0,0,0,1.57,0,0,0,0
