stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,0,22.39,0,0,0,0
 14-21,0,0,0,0,0,6.18,0,2.09,5.46,0,0,5.94,17.64
 24-34,0,0,0,0,0,11.94,0,0,0,1.13,0,2.78,7.63
 36-46,0,0,0,0,0,4.76,0,0,3.01,0.7,0,0,4.1
 48-58,0,0,0.42,0,0,2.13,0,0,0,3.9,0,0,7.53
 60-70,0,0,0,0,0,4.22,0,0,4.92,0,0,0,2.71
 72-82,0,0,0,0,3.8,4.38,0,0,1.56,1.18,0,0,0.9
 84-94,0.94,0,5.73,0,1.21,4.74,0,0,7.01,0,0,0,11.69
 96-106,0,0,0,1,0,5.41,0,0,1.6,0,1.09,0,6.36
108-118,0,1.71,1.85,5.94,0,1.89,0.43,1.49,0,1.7,0,0,2.72
120,0,0,0,6.24,0,0,0,0,10.92,0,3.14,2.12,2.96
