stage,blastomeres,endoderm,eye,glial,gut,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.58,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0
  7-9,0,0,11.73,0,0,0,0,4,0,0,0,0,0,0,0,0
 10-12,0,6.6,0,0,0,0,0,30.21,0,9.37,0,0,0,0,0,0
 14-21,0,0,0.88,0,0,2.98,1.39,1.19,0.81,0,0,0.87,1.95,3.84,0,0
 24-34,0,0,0,0.94,0,11.42,0,10.3,0,0,0,0,0,0.85,0,0
 36-46,0,0,0,0,0,6.5,0,0,0,0,0,0,0,1.68,0,0
 48-58,0,0,0.51,0,0,1.31,0,0,0,0,0,0,0,0.39,0,0
 60-70,0,0,0,0,0,4.02,0.68,0.66,0,0,0,0,0,0.75,0,2.16
 72-82,0,0,0,0,0,13.47,1.79,5.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,10.46,0,7.16,0,0,0,0,0,0,0.69,0
 96-106,0,0,0,0,0,8.38,0,3.89,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.47,13.14,0,0,0,0,0,0,0,1.03,0,0
120,0,0,2.83,0,0,8.57,0,0,0,0,0,0,0,0,0,0
