stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.67,36.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.1,4.13,0,0,3.61,0,2.91,0,0,0,0,0,0,0,0,0,0,0.9,0,0,1.78,3.19,1.63,0,0,0.83,0,4.7,0.91,3.58,1.74,0,1.15,1.74,0,0,0,0,0
 24-34,0,0,1.3,7.98,0,0,12.02,0,3.12,0,3.53,0,0.82,0,0.74,0,0,0,0,13.62,0,0,2.76,49.44,0,0,0,0,0,6.4,0,0,4.96,1.27,3.67,9.79,0,0,0,0,1
 36-46,0,0,0,21.49,0,0,21.64,20.55,8.18,1.38,7.06,0,0,0,29.94,0.69,0,1.62,0,25.25,0,0,8.28,49.39,2.73,0,2,0,0,23.81,0,0,2.68,3.42,0,8.02,0,0,4.82,0,9.75
 48-58,0,0,0,0.37,0,0,9.45,3.82,0.82,4.01,17.18,0,4.81,0,1.21,0,0.9,0,0.88,14.06,0,0,2.21,62.7,0,0,0,0,0,7.7,0,0,9,4.7,0,11.59,0,0,0,0,7.68
 60-70,0,0,0,2.29,0,0,20.66,11.12,13.03,16.43,35.67,0,0.93,0,0,0,0,0,2.64,22.67,0,0,2.51,42.66,0,0,0,0,0.96,4.07,0,0,1.17,16.26,0,5.6,0,0,0.68,0,0
 72-82,0,0,0,1.38,0,0,45.09,6.68,0,5.24,64.09,1.18,0,1.19,1.19,0.59,0,0,0,94.53,2.63,1.08,7.72,48.82,0,0,2.88,0,0,6.03,0,0,0.64,12.31,0,9.17,0,0.5,7.97,2.57,9.69
 84-94,0,0,0,11.33,0.72,0,12.6,6.62,7.36,5.93,32.86,0,0.8,0,2.68,0,1.43,0.68,11,77.82,3.8,3.8,4.98,17.3,0,3.89,0,0,0,22.36,0,0,6.39,6.22,0,7.58,0,0,0,0,8.91
 96-106,0,0,0,11.6,8.51,0,44.25,9.54,1.66,17.61,82.27,0.74,0.68,3.14,8.71,3.02,0.82,0,1.15,94.52,5.46,0,5.96,42.91,0,7.23,9.34,0,0,37.79,0,0,5.54,17.2,0,7.61,4.66,0,3.19,1.99,6.82
108-118,0,0,0,34.07,1.73,11.65,41.66,18.33,11.01,6.17,93.06,1.46,4.42,1,7.15,5.21,4.38,16.34,6.89,157.7,6.3,8.75,14.3,76.68,3.8,0.96,13.74,0,0,49.45,0,0,4.55,20.29,0,4.88,0,0.92,2.86,0.95,4.5
120,0,0,0,134.43,3.15,3.12,57.82,24.86,40.41,21.26,192.26,21.15,8.91,2.67,14.56,11.39,0,25.51,5.95,205.65,0,12.35,16.92,166.33,0,4.24,8.21,0,0,141.95,0,0,23.83,11.33,0,22.99,0,10.65,35.36,4.11,0
