stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,58.83,1420.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.49,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.6,1220.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.72,0,0,0,13.13,0,14.85,0,0,0,0,0,0,0,0,0,0,0
  7-9,50.59,45.24,43.95,0,0,0,183.24,0,0,0,0,0,48.19,0,0,0,0,0,0,0,0,0,0,0,1011.08,64.95,0,0,405.83,0,3.29,17.33,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.23,58.02,0,0,0,93.05,0,0,0,0,0,13.13,0,0,0,0,0,0,0,0,0,0,0,863.14,21.69,0,0,254.71,0,6.67,0,4.19,9.21,0,0,0,0,0,0,0,0
 14-21,0,0,1.79,23.18,10.75,0,7.62,0,0,0,3.21,1.58,0,0,0,0,0,0,4.19,0,28.42,0,0,16.54,154.31,4.35,2.08,0.88,3.7,0,11.27,0.91,16.39,0,0.95,13.11,56.88,0,0,1.07,0,0
 24-34,0,0,1.58,15.28,4.16,0,45.57,0,1.32,0.61,9.45,2.57,0,0.75,0,3.14,2.44,3.11,0,1.89,67.7,0,0,24.62,624.23,0,7.61,11.52,0,0,33.52,0,0,5.43,0.87,5.14,131.74,0,0,27.98,0,2.74
 36-46,0,0,0.63,6.37,0.81,0,158.99,1.38,2.71,0,22.98,1.58,0,0,2.11,0,3.71,1.62,0,2.52,48.85,1.5,1.32,17.42,790.26,2.54,4.97,2.24,0,0,80.4,0,0,8.1,10.67,0,137.15,0,0,8.99,0,0
 48-58,0,0,0,28.84,8.55,0,273.56,2.47,0.62,1.49,40.45,0.46,1.83,0,0.76,6.32,0.46,2.8,1.04,2.06,78.33,2.84,3.96,16.78,869.04,2.17,5.8,5.07,0,0.79,39.23,0,0,0.53,7.22,0,111.6,0,0.64,6.19,0,8.15
 60-70,0,0,0,24.26,0,0,398.97,1.1,5.92,7.93,55.18,1.44,4,3.77,7.89,1.23,10.4,0,0,0,68.13,3.67,2.11,11.75,726.66,2.44,0,2.29,0,0,36.37,0.64,0,1.64,1.47,0,107.96,0,0.9,17.99,0,9.08
 72-82,0,0,0,16.78,7.43,1.04,268.69,0,7.31,1.87,42,3.52,1.18,0.66,4.01,0.7,0,6.8,0,2.6,96.6,1.61,3.02,9.15,552.41,1.11,0.97,1.8,0,0,32.25,0,0,0.55,0,0,52.87,0,0.97,15.86,0,1.62
 84-94,0,0,0,29.36,22.23,0.59,158.01,0.91,12.28,2.66,41.17,5.29,0.99,6.3,3.53,3.9,10.46,5,0,1.35,82.71,3.58,5.58,17.5,334.36,5.91,18.62,6.92,0,0,85.4,0,0,2.6,3.13,0,52.59,13.59,3.9,8.63,9.15,3
 96-106,0,0,0,19.21,19.88,0.6,135.26,0,9.65,8.06,45.31,5.63,0,0.68,1.14,2.38,2.52,3.36,0.95,0,61.87,0.71,3.59,5.91,253.94,0,3.41,7.44,0,0.81,54.01,0,0,0,0,0,24.26,1.97,4.51,7.1,1.68,1.13
108-118,0,0,0,27.7,14.37,5.14,176.93,0,7.64,2.28,30.03,12.5,0,0.51,1.5,5.49,6.37,7.48,3.39,6.05,87.39,2.15,0,8.25,299.95,4.26,7.03,7.66,0,6.8,57.64,0,0,1.48,1.51,0,25.12,0,1.1,16.92,2.29,3.31
120,0,0,0,65.35,17.77,5.48,211.35,9.81,1.42,3.67,49.77,7.52,0,0,15.53,14.59,0,3.86,1.33,0,109.87,0,0,3.34,854.66,15.47,15.73,26.74,0,0,103.95,0,0,4.32,1.63,0,38.73,0,0,60.47,0,0
