stage,axial,blastomeres,endoderm,epidermis,eye,gut,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,24.77,562.11,0,0,0,0,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0
  5-6,33.65,956.24,0,0,0,0,0,0,0,0,16.38,10.41,0,9.89,32.58,0,0,0,0,0
  7-9,0,70.83,31.28,0,117.09,0,28.07,0,0,0,789.9,44.59,0,195.69,0,0,0,0,0,0
 10-12,0,9.51,30.9,0,73.59,0,0,0,0,0,443.83,3.95,0,192.3,0,5.64,4.54,0,0,0
 14-21,0,0,0,0.97,0,0,0,0,0,0,12.52,0,0,0,0,0,0,1.71,1.01,0
 24-34,0,0,0,0,1.34,0,0,0,0,1.26,2.05,0,1.12,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.8
 48-58,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.47,0.84,0,0,0,0,0,0,0,0,0,5.41,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.63,0.57,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.52,0,0.57,0,1.17,0.77,0,0,0,0,0,0,0,0,0,0,0
