stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,15.87,46.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.88,27.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,21.64,0,31.07,0,0,0,0,0,0,0,0
 10-12,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,0,9.28,23.75,0,10.05,0,6.03,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1.28,0,0,0,0,2.01,3.52,0,0,0,0,0.85,0,2.36,0,0,0
 24-34,0,0,0,1.67,0,0,0,0.7,0,0,0,3.45,0,0,0.6,1.85,1.29,0.73,0,0.76,0,0,0.72,1.3,0,0,1
 36-46,0,0,0,1.07,0,0,1.75,0,0,1.6,0,0,0,0.62,0,2.66,0,0,0,1.47,0,0,0,1.66,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0.84,9.45,0,0,0,0.77,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.33,0,0,0,0.83,0,0,0,2.02,0,6.58,0,0,0,0,0,0,0,1.75,0,0,0
 72-82,0,0,0,0,0,0,4.62,0,1.2,0.77,0,0,10.18,3.76,0,3.34,0.77,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.31,0,0,0,0,0.91,0,0,0,13.25,1.53,0.95,0,0,0,0,0,0,0,0,0,3.36,0,0
 96-106,0,0,0,0,7.63,0,0,0,0,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,0,7.56,1.96,0
108-118,0,0,0,2.06,0,0.79,0,0,0,4.42,0,0,19.1,0,0,5.4,0,0,0,0,0,0,0,0,0.46,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,4.68,13.85,0,11.53,1.94,0,0,0,0,0,0,0,0,0,0
