stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.67,804.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,145.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.48,0,0,3.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.87,6.92,0,0,6.7,0,0,4.81,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.71,16,0,0,13.71,0,0,0,0,15.17,0,0,0,0,0,0,0,0
 14-21,0,0,24.05,16.75,42.94,71.2,0,8.68,0,0,0,5.85,4.89,18.92,0,0.86,0,0,1.84,0,174.85,0,0,54.96,168.15,0,0,0.83,0.94,0,15.65,5.99,1.96,2.11,0,3.44,64.5,0,0,28.25,0,0
 24-34,0,0,31.07,45.34,95.91,21.14,0,21.79,0,2.32,4.35,11.03,42.42,16.24,0.98,2.98,2.14,0,11.06,0,275.93,3.48,0,78.78,631.14,1.49,14.56,2.42,0,1.14,30.7,1.47,0,33.55,0,9.7,194.96,0,0,317.87,0,17.84
 36-46,0,0,13.11,1.56,51.83,7.43,0,14.93,0,1.05,29.99,12.67,27.78,30.78,0,1.78,0,0,17.3,0,372.14,0.65,7.25,168.05,746.35,0.56,17.08,1.64,0,0.97,51.21,7.71,0,18.45,1.35,0,226.48,0,1.67,87.16,0.78,6.7
 48-58,0,0,7,0,29.42,0,0,62.79,0,6.75,90.65,42.35,25.84,37.29,0.39,0.47,7.52,0.47,23.31,6.22,329.57,1.35,0.71,101.75,931.73,0.49,13.09,14.66,0,0,47.62,0,0,30.36,0.64,0,226.43,0,0,99.53,0,25.95
 60-70,0,0,2.97,0,52.85,0,2.74,102.82,0,7.37,166.57,126.6,13.46,8.75,0,2.52,12.17,1.69,41.83,0,509.7,4.53,1.79,42.34,1188.17,1.69,20.67,4.03,0,2.07,36.06,0.64,0,4.63,0,0,155.96,3.21,11,75.84,1.13,11.12
 72-82,0,0,17.7,1.51,41.92,10.92,41.04,306.28,9.63,1.64,271.09,261.72,39.25,14.03,2.12,4.66,0,2.36,129.39,4.38,777.86,1.58,21.12,49.17,1753.8,0.77,51,7.26,0,4.32,14.86,0.85,0,19.77,0,0,208.49,1.96,27.02,112.82,17.59,23.01
 84-94,0,0,35.72,0,70.46,5.13,61.64,310.24,3.1,11.52,225.59,185.42,66.26,7.24,1.53,8.08,2.33,5.47,365.83,0,783.24,1.88,19.66,52.32,1215.45,0.64,31.41,13.07,0,0.77,46,0,0,34.37,0.62,0,229.25,5.31,25.11,81.16,9.09,3.54
 96-106,0,0,47.67,3.71,126.8,37.77,41.18,600.87,0.57,23.18,199.27,523.32,123.68,26.05,20.73,14.57,0.75,5.06,629,0,1355.49,0,21.69,53.78,1773,1.22,57.44,24.81,0,21.96,74.11,0.85,0,42.41,0,0,115.35,22.2,29.79,126.95,28.56,4.32
108-118,0,0,52.83,2.39,171.91,10.7,63.74,629.95,1.15,32.19,269.88,543.26,201.29,38.26,5.09,23.64,4.13,1.16,1492.45,3.28,1926.15,7.21,19.73,106.93,3650.84,3.5,64.22,29.6,0,24.85,74.3,2.07,0,102.45,2.96,0,190.27,22.2,26.14,185.91,14.85,25.27
120,2.37,0,77.3,0,362.75,27.63,29.24,703.94,1.59,37.37,466.18,1072.26,275.84,59.51,26.14,30.2,7.82,11.04,1416.3,10.94,2847.78,4.99,41.72,121.86,7326.83,10.35,60.55,78.96,0,43.02,133.01,5.36,1.12,134.61,0,0,311.56,18.46,70.67,412.57,12.96,0
