stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,27.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,8.46,0,0,0,0,0,0,0,0,35.61,0,0,4.84,0,0,0,0,0,0,0
 10-12,0,28.88,0,3.77,0,0,0,0,0,0,0,0,117.53,10.13,0,31.68,3.03,0,10.04,0,0,0,0
 14-21,0,2.6,9.07,0,1.17,0,0.87,1.35,0,49.1,0.92,1.05,6.77,1.42,0,0,0,3.22,0,1.53,5.47,6.1,0.83
 24-34,0,0,0,0,0.62,0,0,0,0,74.64,1.33,1.29,7.58,1.42,0,0,0,0,0,0,0,2.48,0
 36-46,0,0,0,0.75,0,0,0,0,1.11,32.1,2.54,0,4.68,0,0,0,0,0,0,0,0,1.19,0
 48-58,0,0,0,0.71,0,0,0,0,0,9.7,1.52,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.07,0,0.7,0,0,0,11.56,2.74,0,0,0,4.42,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.43,0,0,0,0,0,10.89,1.81,0.89,1.17,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,5.56,1.13,0,0.66,0.85,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.12,0,0,0.7,0,0,6.34,0,1.06,0,0,0.74,0,0,0,1.4,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,3.24,2.63,0,0.77,0,1.34,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.13,1.23,2.18,3.7,0,0,0,0,0,1.42,0,0,0,0
