stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.79,72.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,74.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.59,0,0,19.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.22,0,0,0,6.68,49.91,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.82,0,0,0,0,10.79,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,259.04,0,0,0,10.59,40.18,4.8,0,0,0,0,0,0,0,0,0
 14-21,0.93,0,0,1.14,153.72,0,4.92,0,0,0,0,0,1.5,0,38.55,0,0,0,0,0,1.19,0,0,30.71,0.81,0,1.63,0.82,64.54,0,3.88,0.86,1.84,0.84,0,0,0,0,0
 24-34,0,0,0,0,48.51,0,8.02,1.56,0,4.57,0.68,0,0,0,40.55,0,4.09,0,0,9.34,12.54,0,2.77,133.27,5.37,3.15,0.64,0,118.16,0,0,1,3.17,13.87,0,0,10.17,0,0.61
 36-46,0,0,0,0,46.66,1.12,22.34,3.7,0,0,0,0,0,0,11.37,0,3.54,0,0,10.69,9.51,0,0,122.06,0,0.98,0,0,104.75,0,0,0,0,9.34,0,0,0,0,0
 48-58,0,0,0,0,25.04,0,37.38,1.68,0,2.23,1.3,0,0,0,17.37,1.9,0.85,0,1.31,12.59,14.22,2.99,3.9,139.2,0,0.56,0,0,60.62,0,0,0,0,8.06,0,0,0,0,0
 60-70,0,0,0.7,0,16.02,0,48.87,13.71,7.26,12.28,1.41,0,0,0,5.18,0,2.21,0,0,95.96,7.94,6.48,9.07,101.18,0,0,0.72,0,85.29,0,0,0,0,15.7,0,0,0.92,0,5.3
 72-82,0,0,0,0,15.08,0.54,40.41,0.81,0.56,1.99,0.63,0,0.89,0,9.53,0,2.97,0,0,93.29,10.23,0.53,2.32,50.3,0,0.49,1.35,0,57.46,0,0,0,0,5.66,0,0,4.24,0,0
 84-94,0,0,0,0,37.53,0,27.8,9.1,0,3.24,0,0,1.02,0,15.91,0.55,6.45,0,0,94.77,8.14,0,4.2,57.53,0,0.66,4.61,0,155.12,0,0,1.27,0,0,0.61,2.73,0,0,0
 96-106,0,0,0,0,42.75,1.24,12.62,5.39,6.33,1.33,4.31,0,0,0.65,14.93,0,6.42,0,0,98.96,27.18,0,6.61,14.13,0,0.6,0.59,0,84.91,0,0,0,0,0,3.73,0,0.76,0.91,0
108-118,0,0,0,0,64.84,8.65,19.22,6.64,1.49,9.06,3.34,0,0,6.65,11.24,0,6.99,6.77,0,112.82,16.15,0,5.71,39.61,0,0,3.79,0,101.44,0,0,0,0,0,3.08,4.28,1.07,1.76,0
120,0,0,0,0,63.27,6.24,22.41,8.92,6.64,2.91,0,0,0,0,19.18,0,3.82,0,0,104.07,25.38,2.08,2.36,170.51,0,0,0,0,75.36,0,0,0,0,0,1.81,0,2.64,0,0
