stage,blastomeres,epidermis,fast.muscle,fin.epithelia,glial,mesenchyme,mucous,muscle,neural,periderm,somites,spinal.cord
  3-4,9.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.68,5.71,0,0
 36-46,0,0,0,0,0,1.63,1.37,0,0.74,22.55,1.38,2.47
 48-58,0,0,0,0,0,0,0,0,0.82,9.89,0,0.78
 60-70,0,0,0,0,0,0,0,0,0,1.34,0,0
 72-82,0,0,0,0,0,2.25,0,4.28,5.26,3.63,0,0
 84-94,0,0,0.57,0,0,0,0,0,0,6.22,0,0
 96-106,0,0.76,2.9,2.14,1.16,1.12,0,0,4.99,10.32,0,0
108-118,0,0,0,0,0,0,0,0,4.27,0.41,0,0
120,0,0,0,0,0,2.15,0,0,0,0,0,0
