stage,eye,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,pericytes,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,4.58,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.1
 36-46,1.65,1.74,0,0,0,1.5,0.81,5.19,0,1.02,0,0
 48-58,0,0,0,0,0,0.45,0,3.15,0,0,0,0
 60-70,0,0,0,0,0,0.94,0,4.22,0,0,0,0.66
 72-82,1.21,2.34,0,0,0,0.89,0,7.51,0,0,0,0
 84-94,0.55,0,0.85,0,0.58,1.94,0,7.91,0,0,0,0
 96-106,1.62,1.46,0.65,0,0,0,0,0,0,0,0.75,0
108-118,0.64,0,0.64,0,0,6.26,0,0,1.65,0,0,3.07
120,0,0,0,1.05,0,0,0,0,0,0,0,0
