stage,blastomeres,eye,fast_muscle,glial,immune,mesenchyme,neural,paraxial_mesoderm,somites,spinal_cord
  3-4,36.51,0,0,0,0,0,0,0,0,0
  5-6,30.98,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,0,0,0,0,0,6.47,0,0
 14-21,0,0,0,0,0,0,0,0,1.16,1.11
 24-34,0,0,0,0,0,0,2.24,0,0,0
 36-46,0,0,0,0.71,0,0,27.97,0,0,2.05
 48-58,0,5.41,0.37,0,0,0,18.91,0,0,6.27
 60-70,0,0,0,0,0,0,40.61,0,0,0.99
 72-82,0,9.7,0,0,0,0,43.04,0,0,12.82
 84-94,0,0,0,0,0,0,23.42,0,0,8.76
 96-106,0,1.06,0,0,0,1.8,7.53,0,0,6.78
108-118,0,2.53,0,1.18,0.43,2.45,19.39,0,0,3.4
120,0,2.04,0,0,0,0,10.26,0,0,0
