stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,54.37,363.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,93.31,754.82,0,0,0,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0,0,0,50.79,7.03,0,0,6.17,25.99,0,0,0,0,0,0,0,0
  7-9,29.95,17.02,27.33,0,0,58.16,0,0,0,0,0,103.25,0,0,0,0,0,0,0,0,0,0,331.73,21.75,0,0,146.33,0,0,0,0,0,0,0,0,0
 10-12,0,0,27.81,0,0,15.73,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,325.91,11.38,0,0,98.62,0,5.95,0,0,0,0,0,0,0
 14-21,0,0,0,9.25,3.27,4.23,0,0,0,0,0,1.29,0,0,0,0,0,0,5.16,0,0,1.01,78.02,1.42,0,0,0.87,0.81,0,1.08,1.1,8.35,0,0,0,0
 24-34,0,0,0,0,0,15.18,0,0,0,0,0,0,0,1.28,0,0,0,0.64,0.89,0,0,0.62,15.52,0.76,0,0,0,0,0,0,0,2.01,0,0,0,0
 36-46,0,0,0,7.67,0,34.49,0,0,0,0,0,0,0,0,0,0,0,0,0.78,0,0,0,13.23,0,0,0,0,0,0,0,0,5.51,0,0,0,0
 48-58,0,0,0,0.39,0,272.15,0,0,0.63,2.66,0,5.1,1.08,0,0,0,0,0,1.77,0,0,0,21.32,0,0,0,0,2.8,0,0,0,1.92,0,0.46,0,0
 60-70,0,0,0,0,0,864.62,0,0.69,0,20.58,0.58,0,0,0,0,0,0,0,1.06,0,0,0,52.92,0,0.6,0,0,0,0,0,0,2.46,0,1.59,0,0
 72-82,0,0,0,0.55,0,1092.11,0,0,3.62,3.01,0,0.52,0,0,0,0,0,0,10.85,0,0.77,0,74.34,0,0,0.75,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.94,0.92,883.89,0.56,0,0,10.93,0,0,0,0,0,0,0,0,6.51,0,1.03,0,65.52,0,0,0,0,1.83,0,0,0,7.62,0,0,2.24,0
 96-106,0,0,0,2.59,0,719.72,0,0,0,9.09,0,0,0,0,2.29,0,0,0,6.81,0,0,1.95,36.36,0,0,0,0,14.7,0,0,0,0.68,0,0,0,0.75
108-118,0,0,0,9.49,0,704.01,0,0,0,1.83,0.71,0,0,0,0,0.78,2.34,0,7.49,1.27,0,0,67.62,0,0,0,0,0,0,0,0,0,0.71,0,0,0
120,0,0,0,0,0,556.63,0,2.21,0,10.6,0,0,0,0,0,0,0,0,12.29,0,0,4.97,61.57,0,0,0,0,19.34,0,0,0,0,0,1.35,3.79,0
