stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0,0,0,0,0,27.61,0,0,0.75,0,0,10.49,0,0,0,0,0
 36-46,0,1.22,0,0,0,0,0,0,0,0.7,0,95.06,0,0,0,0,0,20.66,0,0,0,0,0
 48-58,1.03,3.44,0,3.76,0.88,3.53,0,0,0,1.11,0,208.74,0,0,0,0,0,41.35,0,0,0,0,0
 60-70,0,24.21,0,0,0,34.79,0,0,0,7.37,0,328.73,0,2.66,0,0,0,55.88,0,0,0,0,3.77
 72-82,0.61,57.8,0,0,0,50.37,0,0,0,5.84,0,523.35,0,0,6.38,0,0,62.67,0,0,0,0.56,0
 84-94,1.34,50.82,0.56,0,1.75,33.54,0,1.31,0,1.54,3.58,336.41,0,1.05,1.41,0,0,63.81,0,0,3,2.23,0
 96-106,0.71,68.18,0.87,0,4.97,43.69,1.39,0,2.25,5.21,0,407.33,0,2.25,2.01,3.26,0,27.45,0.62,0.66,0,0,0
108-118,2.02,40.03,0,0,0,58.81,0,0,0,3.16,0.92,341.83,1.8,0,0,0,0,39.77,0,0,3.28,0,0
120,0,43.66,18.76,0,0,89.1,1.89,0,0,10.32,0,625.16,0,0,0,0,0,50.67,0,0,0,2.7,0
